url_chanson,paroles_chanson,titre_chanson,nom_chanson,pages_chanson,nom_artiste,nom_artiste.s,url_photo
http://paroles2chansons.lemonde.fr/paroles-nino-ferrer/paroles-4-x-4.html,    Mais la lune était belle Et j'étais près de toi Et je n'en avais vraiment Rien à foutre de tout ça. Avec le 4 x 4 noir Cabossé de toutes parts Et ses aigles dorés Sur ses 4 x 4 côtés. Tu te souviens 4 x 4 Des galères qu'on a fait Depuis bientôt dix ans Qu'on bourlingue sans arrêt. Le coup des militaires Qui nous ont attaqués Et les grillages à Metz On les a traversés. Ça n't'a pas arrangée Mais j't'ai bien retapée T'es plus belle que jamais Même si t'es défoncée. Voilà le 4 x 4 noir Cabossé de toutes parts Et ses aigles dorés Sur ses 4 x 4 côtés...                 ,4 x 4,4 x 4,http://paroles2chansons.lemonde.fr/paroles-nino-ferrer-p1,Nino Ferrer,nino-ferrer,http://paroles2chansons.lemonde.fr/lib/images/upload/artists/nino-ferrer.jpg
http://paroles2chansons.lemonde.fr/paroles-nino-ferrer/paroles-agata.html,"    Agata, tu me ruines Agata, tu m'assassines Agata, regarde, examine Je suis un homme Qui n'est plus Qu'il était J'ai réduit le repas quotidien sans hésiter Un grand verre d'eau fraîche le matin, pas de café au lait Quand je rentre au domicile, je ne trouve plus personne Je soupire avec tristesse et me surprends à rêver A quand nous jouions ensemble au docteur et aux fiancés Maintenant je joue tout seul, mais c'est à plaisir frelaté Agata, tu me ruines Agata, tu m'assassines Agata, regarde, examine Je suis un homme Qui n'est plus Qu'il était                 ",Agata,Agata,http://paroles2chansons.lemonde.fr/paroles-nino-ferrer-p1,Nino Ferrer,nino-ferrer,http://paroles2chansons.lemonde.fr/lib/images/upload/artists/nino-ferrer.jpg
http://paroles2chansons.lemonde.fr/paroles-nino-ferrer/paroles-alcina-de-jesus.html,   Le monde est en train de changer Mais elle n’en voir rien du tout Alcina de jésus Alcina de jésus Alcina de jésus Pourtant c’est comme un parfum Amer comme un premier amour Et ça ne dur qu’un temps très court Puis on est vieux pour toujours Alcina de jésus Alcina de jésus Alcina de jésus                 ,Alcina De Jesus,Alcina De Jesus,http://paroles2chansons.lemonde.fr/paroles-nino-ferrer-p1,Nino Ferrer,nino-ferrer,http://paroles2chansons.lemonde.fr/lib/images/upload/artists/nino-ferrer.jpg
http://paroles2chansons.lemonde.fr/paroles-nino-ferrer/paroles-alexandre.html,   C’est toujours Alexandre Qui voulez-vous que ce soit ? Alexandre Qui qu’habite la rue Quincam poix ? Qui qu’a bu mon sirop d’orgeat ? Qui qui s’est fait un coupe papier  Avec l’épée d’Ivanhoé ? C’est Alexandre C’est encore Alexandre C’est toujours Alexandre Qui voulez-vous que ce soit ? Ça ne peut être qu’Alexandre C’est toujours Alexandre C’est encore Alexandre Ça doit être Alexandre                 ,Alexandre,Alexandre,http://paroles2chansons.lemonde.fr/paroles-nino-ferrer-p1,Nino Ferrer,nino-ferrer,http://paroles2chansons.lemonde.fr/lib/images/upload/artists/nino-ferrer.jpg
http://paroles2chansons.lemonde.fr/paroles-nino-ferrer/paroles-anne.html,"   Où est-ce qu'elle peut être et que fait-elle ? Et les mots qu'elle a dits, c'était vrai ? Et les bagnoles sur l'autoroute Je les vois passer de ma fenêtre Comme je regarde passer la vie Et je me sens comme en déroute. Je me souviens de Mainguerin Et du grand lit de tes parents Quand nous y avons dormi dedans C'était une nuit de printemps Et je t'imagine souvent Une main sur ton ventre blanc Et le parfum de tes cheveux Qui sentent le miel et le feu Ils sentent le miel d'acacia Et je ne m'en rassasie pas. Ton nom, c'est comme une caresse Ton nom, c'est comme un cri C'est le son qui vient à la bouche Quand j'ai mal et quand je jouis.                 ",Anne,Anne,http://paroles2chansons.lemonde.fr/paroles-nino-ferrer-p1,Nino Ferrer,nino-ferrer,http://paroles2chansons.lemonde.fr/lib/images/upload/artists/nino-ferrer.jpg
http://paroles2chansons.lemonde.fr/paroles-nino-ferrer/paroles-arriba-santana.html,"   la fôret décline, la route prédomine, et je vais bientôt manquer d'oxygène. L'Amérique Latine, les tribus fuient sur l'Amazone, on les tire comme de pauvres lapines, mais les musiques sont divines. Et le Carnaval? Génial! Et un petit coup de mescal ? Normal ! Maracas merengue Mariachi marimba Caramba Santana El Porompompero te quiero!                 ",Arriba Santana,Arriba Santana,http://paroles2chansons.lemonde.fr/paroles-nino-ferrer-p1,Nino Ferrer,nino-ferrer,http://paroles2chansons.lemonde.fr/lib/images/upload/artists/nino-ferrer.jpg
http://paroles2chansons.lemonde.fr/paroles-nino-ferrer/paroles-au-bout-de-mes-vingt-ans.html,"   Attendre que vienne encore l’heure de chanter. Et les autres vivent et parfois m’envient, Moi qui ne fais que semblant de ma vie Et j’ai tout laissé pour ça, qui ne m’aime pas. Au bout de mes vingt ans, la route est vide, Et je m’ennuie. J’ai perdu mes amours et ma jeunesse, Et mes amis.                 ",Au Bout De Mes Vingt Ans,Au Bout De Mes Vingt Ans,http://paroles2chansons.lemonde.fr/paroles-nino-ferrer-p1,Nino Ferrer,nino-ferrer,http://paroles2chansons.lemonde.fr/lib/images/upload/artists/nino-ferrer.jpg
http://paroles2chansons.lemonde.fr/paroles-nino-ferrer/paroles-bande-a-ferrer-la.html,"   Mais il vaut mieux ne pas le mettre en colère Car il mesure deux mètres et des poussières. Il fait des : « Twitwitatatapootata pootata ! Twitwitatatapootata pootata ! » Et puis des : « Twitwitatatapootata pootata ! Tititititititititititi wah ! » Il fait partie de la bande, La Bande à Ferrer. Et moi, je joue de la guitare, Je compte les sous, je fume le cigare, Et puis je chante quand vient le soir, Je fais : « Yéyé ! Yéyéyéyé ! » Je fais des : « Z’avez pas vu Mirzaaah ? » Je suis le chef de la bande, La Bande à Ferrer.                 ",Bande A Ferrer (la),Bande A Ferrer (la),http://paroles2chansons.lemonde.fr/paroles-nino-ferrer-p1,Nino Ferrer,nino-ferrer,http://paroles2chansons.lemonde.fr/lib/images/upload/artists/nino-ferrer.jpg
http://paroles2chansons.lemonde.fr/paroles-nino-ferrer/paroles-barberine.html,   La paisible respiration de cette jeune fille qui ressemble A un train Et que je regarde dormir à travers la nuit En fait Barberine est un être tout à fait imaginaire Et toute ressemblance avec des personnages existants Serait absolument fortuite et miraculeuse C'est pourquoi je n'ai pas de scrupules à la raconter Comme elle est Elle m'a d'ailleurs autorisé à le faire Et ne m'a rien caché de ses vices Et de ses fantasmes Et de ses aventures Et de ses expériences Mais je n'ai jamais pu pénétrer dans son jardin secret Et parfumé de tubéreuses. Bof !                 ,Barberine,Barberine,http://paroles2chansons.lemonde.fr/paroles-nino-ferrer-p1,Nino Ferrer,nino-ferrer,http://paroles2chansons.lemonde.fr/lib/images/upload/artists/nino-ferrer.jpg
http://paroles2chansons.lemonde.fr/paroles-nino-ferrer/paroles-bloody-flamenco.html,"   someone dropped the bomb the neutron star just fell and changed the face of mother earth into a bloody hell dried up all the seas and blew up Dingley Dell.  Green grass can grow no more There's no more trees, no seashore.                 ",Bloody Flamenco,Bloody Flamenco,http://paroles2chansons.lemonde.fr/paroles-nino-ferrer-p1,Nino Ferrer,nino-ferrer,http://paroles2chansons.lemonde.fr/lib/images/upload/artists/nino-ferrer.jpg
