CODGEO,NOM_COMM,STATUT,POPULATION,superficie_ha,x_ctr,y_ctr,id
76057,BARENTIN,Commune simple,11957,1250.66483399924,552100.75490788,6940362.94148473,8340
76451,MONT-SAINT-AIGNAN,Commune simple,19178,789.936306499101,560895.583238501,6931445.32861995,8341
76509,PREAUX,Commune simple,1727,1906.89301149933,570676.195174632,6933465.68146497,8342
76676,SIGY-EN-BRAY,Commune simple,738,2753.26539749834,588914.612594145,6938141.70947693,8343
76263,LA FEUILLIE,Commune simple,1299,4030.68438749816,592773.078589777,6930565.06928984,8344
76312,GOURNAY-EN-BRAY,Commune simple,6390,1028.7510204999,607084.907077267,6931918.02226852,8345
60611,SENANTES,Commune simple,678,1953.27929499871,615447.500438797,6932089.42168679,8346
60403,MILLY-SUR-THERAIN,Commune simple,1627,1896.05754499882,628493.339932236,6934850.33741967,8347
60302,HAUDIVILLERS,Commune simple,812,988.588543999346,645032.706935493,6932121.82493606,8348
60581,SAINT-JUST-EN-CHAUSSEE,Commune simple,5979,1483.56460649899,657800.453793522,6934830.48551164,8349
60374,MAIGNELAY-MONTIGNY,Commune simple,2711,1874.77168349884,664728.173512438,6938874.58815831,8350
60533,RESSONS-SUR-MATZ,Commune simple,1653,950.513647499796,680669.800475274,6937235.17935707,8351
60636,THOUROTTE,Commune simple,4613,428.648467499992,691379.584885632,6931135.12644848,8352
60537,RIBECOURT-DRESLINCOURT,Commune simple,3851,1313.43485399908,694121.999265487,6935845.13049772,8353
02093,BLERANCOURT,Commune simple,1236,1112.8096969997,710968.741135758,6934273.40160337,8354
02318,FOLEMBRAY,Commune simple,1425,888.365536999658,721211.643751174,6938915.64798866,8355
02018,ANIZY-LE-CHATEAU,Commune simple,1948,952.765952499349,731296.727797548,6934020.31389323,8356
02128,BRUYERES-ET-MONTBERAULT,Commune simple,1558,1156.29319649916,748494.656569603,6936416.84439811,8357
02498,MONTAIGU,Commune simple,751,2366.11671749842,761164.279345303,6939626.57572334,8358
02676,SAINT-ERME-OUTRE-ET-RAMECOURT,Commune simple,1883,1989.00624949924,762638.195515858,6935815.45000856,8359
08024,ASFELD,Commune simple,1120,2192.16163899913,781470.579744594,6931003.79599499,8360
08107,CHATEAU-PORCIEN,Commune simple,1425,1705.37809399864,790318.768950036,6937920.65138338,8361
08362,RETHEL,Sous-préfecture,7730,1864.70684149907,800265.737853931,6935789.03717784,8362
08025,ATTIGNY,Commune simple,1202,1163.1030309993,814900.018895338,6931884.33039353,8363
08116,BAIRON ET SES ENVIRONS,Commune simple,1080,4569.4611349976,827241.000809136,6935869.69410902,8364
08057,BELLEVILLE-ET-CHATILLON-SUR-BAR,Commune simple,279,2129.71288299844,831730.871681669,6931122.9052254,8365
08055,BEAUMONT-EN-ARGONNE,Commune simple,451,3123.79359699787,847403.16884696,6938401.5681027,8366
55502,STENAY,Commune simple,2743,2762.81584149859,859268.359253958,6935677.16728459,8367
55351,MONTMEDY,Commune simple,2255,2326.68009999893,871848.866704779,6937651.72670222,8368
54118,CHARENCY-VEZIN,Commune simple,657,1476.60711849975,882253.18042519,6934587.80574394,8369
54322,LONGUYON,Commune simple,5459,3052.05245649697,887904.280109307,6931841.69643932,8370
54323,LONGWY,Commune simple,14092,546.704566999697,900394.519956847,6939260.43430728,8371
54580,VILLERUPT,Commune simple,9415,638.598080999482,912218.651706182,6933358.90678557,8372
57731,VOLMERANGE-LES-MINES,Commune simple,2063,1321.8614144991,922447.0642384,6931696.39210813,8373
57588,RODEMACK,Commune simple,1101,978.525161499497,935430.243342137,6934230.79718786,8374
57650,SIERCK-LES-BAINS,Commune simple,1676,502.623293999756,943655.865476025,6931382.71410044,8375
50402,LES PIEUX,Commune simple,3282,1590.64002449903,350918.156739901,6945238.55199346,8422
50425,RAUVILLE-LA-BIGOT,Commune simple,1183,1739.08279699887,362273.3244261,6945337.41937649,8423
50087,BRIX,Commune simple,2095,3246.78754849835,369112.129272587,6948970.68369538,8424
50615,VALOGNES,Commune simple,6807,1553.84327749883,376119.807835285,6944003.81015576,8425
50421,QUINEVILLE,Commune simple,290,464.426558499736,388223.909695555,6943138.6528872,8426
76447,MONTIVILLIERS,Commune simple,16198,1958.82279249883,496556.509953077,6941923.46936124,8435
76014,ANGERVILLE-L'ORCHER,Commune simple,1452,1007.75950349916,504109.17821557,6946332.77318733,8436
76114,BOLBEC,Commune simple,11551,1226.53212949903,518050.330950069,6944701.82040239,8437
76718,VALLIQUERVILLE,Commune simple,1321,1312.56932599913,534486.327384163,6948873.9754835,8438
76758,YVETOT,Commune simple,11849,727.514498499639,538137.723747187,6948796.6083865,8439
76495,PAVILLY,Commune simple,6272,1453.25644449959,551449.146980658,6943776.97150689,8440
