id,x_ctr,y_ctr
1,108932.740763332,6062641.40627961
2,120288.440452305,6062641.40627961
3,131644.140141277,6062641.40627961
4,142999.83983025,6062641.40627961
5,154355.539519222,6062641.40627961
6,165711.239208195,6062641.40627961
7,177066.938897168,6062641.4062796
8,188422.63858614,6062641.40627961
9,199778.338275113,6062641.4062796
10,211134.037964085,6062641.40627961
11,222489.737653058,6062641.4062796
12,233845.43734203,6062641.40627961
13,245201.137031003,6062641.40627961
14,256556.836719975,6062641.40627961
15,267912.536408948,6062641.4062796
16,279268.23609792,6062641.4062796
17,290623.935786893,6062641.40627961
18,301979.635475865,6062641.40627961
19,313335.335164838,6062641.4062796
20,324691.03485381,6062641.4062796
21,336046.734542783,6062641.40627961
22,347402.434231755,6062641.40627961
23,358758.133920728,6062641.4062796
24,370113.8336097,6062641.4062796
25,381469.533298673,6062641.40627961
26,392825.232987646,6062641.4062796
27,404180.932676618,6062641.40627961
28,415536.632365591,6062641.4062796
29,426892.332054563,6062641.40627961
30,438248.031743536,6062641.4062796
31,449603.731432508,6062641.40627961
32,460959.431121481,6062641.4062796
33,472315.130810453,6062641.4062796
34,483670.830499426,6062641.40627961
35,495026.530188398,6062641.4062796
36,506382.229877371,6062641.40627961
37,517737.929566343,6062641.4062796
38,529093.629255316,6062641.4062796
39,540449.328944288,6062641.40627961
40,551805.028633261,6062641.40627961
41,563160.728322233,6062641.40627961
42,574516.428011206,6062641.40627961
43,585872.127700178,6062641.40627961
44,597227.827389151,6062641.40627961
45,608583.527078123,6062641.40627961
46,619939.226767096,6062641.40627961
47,631294.926456068,6062641.40627961
48,642650.626145041,6062641.40627961
49,654006.325834014,6062641.40627961
50,665362.025522986,6062641.40627961
51,676717.725211959,6062641.40627961
52,688073.424900931,6062641.40627961
53,699429.124589904,6062641.40627961
54,710784.824278876,6062641.40627961
55,722140.523967849,6062641.40627961
56,733496.223656821,6062641.40627961
57,744851.923345794,6062641.40627961
58,756207.623034766,6062641.40627961
59,767563.322723739,6062641.40627961
60,778919.022412711,6062641.40627961
61,790274.722101684,6062641.40627961
62,801630.421790656,6062641.40627961
63,812986.121479629,6062641.40627961
64,824341.821168602,6062641.40627961
65,835697.520857574,6062641.40627961
66,847053.220546547,6062641.40627961
67,858408.920235519,6062641.40627961
68,869764.619924492,6062641.40627961
69,881120.319613464,6062641.40627961
70,892476.019302437,6062641.40627961
71,903831.718991409,6062641.40627961
72,915187.418680382,6062641.40627961
73,926543.118369354,6062641.40627961
74,937898.818058327,6062641.40627961
75,949254.517747299,6062641.40627961
76,960610.217436272,6062641.40627961
77,971965.917125244,6062641.40627961
78,983321.616814217,6062641.40627961
79,994677.316503189,6062641.40627961
80,1006033.01619216,6062641.40627961
81,1017388.71588113,6062641.40627961
82,1028744.41557011,6062641.40627961
83,1040100.11525908,6062641.40627961
84,1051455.81494805,6062641.40627961
85,1062811.51463702,6062641.40627961
86,1074167.214326,6062641.40627961
87,1085522.91401497,6062641.40627961
88,1096878.61370394,6062641.40627961
89,1108234.31339291,6062641.40627961
90,1119590.01308189,6062641.40627961
91,1130945.71277086,6062641.40627961
92,1142301.41245983,6062641.40627961
93,1153657.1121488,6062641.40627961
94,1165012.81183778,6062641.40627961
95,1176368.51152675,6062641.40627961
96,1187724.21121572,6062641.40627961
97,1199079.91090469,6062641.40627961
98,1210435.61059367,6062641.40627961
99,1221791.31028264,6062641.40627961
100,1233147.00997161,6062641.40627961
101,108932.740763332,6073154.53492608
102,120288.440452305,6073154.53492608
103,131644.140141277,6073154.53492608
104,142999.83983025,6073154.53492608
105,154355.539519222,6073154.53492608
106,165711.239208195,6073154.53492608
107,177066.938897168,6073154.53492608
108,188422.63858614,6073154.53492608
109,199778.338275113,6073154.53492608
110,211134.037964085,6073154.53492608
111,222489.737653058,6073154.53492608
112,233845.43734203,6073154.53492608
113,245201.137031003,6073154.53492608
114,256556.836719975,6073154.53492608
115,267912.536408948,6073154.53492608
116,279268.23609792,6073154.53492608
117,290623.935786893,6073154.53492608
118,301979.635475865,6073154.53492608
119,313335.335164838,6073154.53492608
120,324691.03485381,6073154.53492608
121,336046.734542783,6073154.53492608
122,347402.434231755,6073154.53492608
123,358758.133920728,6073154.53492608
124,370113.8336097,6073154.53492608
125,381469.533298673,6073154.53492608
126,392825.232987646,6073154.53492608
127,404180.932676618,6073154.53492608
128,415536.632365591,6073154.53492608
129,426892.332054563,6073154.53492608
130,438248.031743536,6073154.53492608
131,449603.731432508,6073154.53492608
132,460959.431121481,6073154.53492608
133,472315.130810453,6073154.53492608
134,483670.830499426,6073154.53492608
135,495026.530188398,6073154.53492608
136,506382.229877371,6073154.53492608
137,517737.929566343,6073154.53492608
138,529093.629255316,6073154.53492608
139,540449.328944288,6073154.53492608
140,551805.028633261,6073154.53492608
141,563160.728322233,6073154.53492608
142,574516.428011206,6073154.53492608
143,585872.127700178,6073154.53492608
144,597227.827389151,6073154.53492608
145,608583.527078123,6073154.53492608
146,619939.226767096,6073154.53492608
147,631294.926456068,6073154.53492608
148,642650.626145041,6073154.53492608
149,654006.325834014,6073154.53492608
150,665362.025522986,6073154.53492608
151,676717.725211959,6073154.53492608
152,688073.424900931,6073154.53492608
153,699429.124589904,6073154.53492608
154,710784.824278876,6073154.53492608
155,722140.523967849,6073154.53492608
156,733496.223656821,6073154.53492608
157,744851.923345794,6073154.53492608
158,756207.623034766,6073154.53492608
159,767563.322723739,6073154.53492608
160,778919.022412711,6073154.53492608
161,790274.722101684,6073154.53492608
162,801630.421790656,6073154.53492608
163,812986.121479629,6073154.53492608
164,824341.821168602,6073154.53492608
165,835697.520857574,6073154.53492608
166,847053.220546547,6073154.53492608
167,858408.920235519,6073154.53492608
168,869764.619924492,6073154.53492608
169,881120.319613464,6073154.53492608
170,892476.019302437,6073154.53492608
171,903831.718991409,6073154.53492608
172,915187.418680382,6073154.53492608
173,926543.118369354,6073154.53492608
174,937898.818058327,6073154.53492608
175,949254.517747299,6073154.53492608
176,960610.217436272,6073154.53492608
177,971965.917125244,6073154.53492608
178,983321.616814217,6073154.53492608
179,994677.316503189,6073154.53492608
180,1006033.01619216,6073154.53492608
181,1017388.71588113,6073154.53492608
182,1028744.41557011,6073154.53492608
183,1040100.11525908,6073154.53492608
184,1051455.81494805,6073154.53492608
185,1062811.51463702,6073154.53492608
186,1074167.214326,6073154.53492608
187,1085522.91401497,6073154.53492608
188,1096878.61370394,6073154.53492608
189,1108234.31339291,6073154.53492608
190,1119590.01308189,6073154.53492608
191,1130945.71277086,6073154.53492608
192,1142301.41245983,6073154.53492608
193,1153657.1121488,6073154.53492608
194,1165012.81183778,6073154.53492608
195,1176368.51152675,6073154.53492608
196,1187724.21121572,6073154.53492608
197,1199079.91090469,6073154.53492608
198,1210435.61059367,6073154.53492608
199,1221791.31028264,6073154.53492608
200,1233147.00997161,6073154.53492608
201,108932.740763332,6083667.66357256
202,120288.440452305,6083667.66357256
203,131644.140141277,6083667.66357256
204,142999.83983025,6083667.66357256
205,154355.539519222,6083667.66357256
206,165711.239208195,6083667.66357256
207,177066.938897168,6083667.66357256
208,188422.63858614,6083667.66357257
209,199778.338275113,6083667.66357256
210,211134.037964085,6083667.66357257
211,222489.737653058,6083667.66357256
212,233845.43734203,6083667.66357256
213,245201.137031003,6083667.66357256
214,256556.836719975,6083667.66357257
215,267912.536408948,6083667.66357256
216,279268.23609792,6083667.66357256
217,290623.935786893,6083667.66357257
218,301979.635475865,6083667.66357257
219,313335.335164838,6083667.66357256
220,324691.03485381,6083667.66357256
221,336046.734542783,6083667.66357257
222,347402.434231755,6083667.66357257
223,358758.133920728,6083667.66357256
224,370113.8336097,6083667.66357256
225,381469.533298673,6083667.66357257
226,392825.232987646,6083667.66357256
227,404180.932676618,6083667.66357257
228,415536.632365591,6083667.66357256
229,426892.332054563,6083667.66357257
230,438248.031743536,6083667.66357256
231,449603.731432508,6083667.66357257
232,460959.431121481,6083667.66357256
233,472315.130810453,6083667.66357256
234,483670.830499426,6083667.66357257
235,495026.530188398,6083667.66357256
236,506382.229877371,6083667.66357257
237,517737.929566343,6083667.66357256
238,529093.629255316,6083667.66357256
239,540449.328944288,6083667.66357257
240,551805.028633261,6083667.66357257
241,563160.728322233,6083667.66357256
242,574516.428011206,6083667.66357256
243,585872.127700178,6083667.66357256
244,597227.827389151,6083667.66357257
245,608583.527078123,6083667.66357257
246,619939.226767096,6083667.66357256
247,631294.926456069,6083667.66357256
248,642650.626145041,6083667.66357256
249,654006.325834014,6083667.66357256
250,665362.025522986,6083667.66357256
251,676717.725211959,6083667.66357256
252,688073.424900931,6083667.66357256
253,699429.124589904,6083667.66357256
254,710784.824278876,6083667.66357256
255,722140.523967849,6083667.66357256
256,733496.223656821,6083667.66357256
257,744851.923345794,6083667.66357256
258,756207.623034766,6083667.66357256
259,767563.322723739,6083667.66357256
260,778919.022412711,6083667.66357256
261,790274.722101684,6083667.66357256
262,801630.421790656,6083667.66357256
263,812986.121479629,6083667.66357256
264,824341.821168602,6083667.66357256
265,835697.520857574,6083667.66357256
266,847053.220546547,6083667.66357256
