alti,CODGEO
159.699996948242,76069
153.600006103516,76069
153.800003051758,76069
157.300003051758,76069
158.100006103516,76069
159.199996948242,76069
151.5,76069
151.699996948242,76069
151.699996948242,76069
152.699996948242,76069
154.399993896484,76069
155.699996948242,76069
156.199996948242,76069
157.199996948242,76069
158.5,76069
160.699996948242,76069
149.899993896484,76069
150.399993896484,76069
152.399993896484,76069
153.300003051758,76069
154.399993896484,76069
155.100006103516,76069
156.699996948242,76069
157.899993896484,76069
159.199996948242,76069
159.899993896484,76069
159.699996948242,76069
159.399993896484,76069
150,76069
150.699996948242,76069
151.899993896484,76069
152.5,76069
154,76069
155.199996948242,76069
156.399993896484,76069
158.100006103516,76069
158.899993896484,76069
158.699996948242,76069
158.699996948242,76069
158.5,76069
147,76069
148.899993896484,76069
149.199996948242,76069
149.899993896484,76069
150.5,76069
151.899993896484,76069
153.100006103516,76069
155.300003051758,76069
156.699996948242,76069
157.899993896484,76069
158.300003051758,76069
157.600006103516,76069
157.699996948242,76069
156.899993896484,76069
146.399993896484,76069
147.399993896484,76069
147.5,76069
148.399993896484,76069
150.100006103516,76069
152.100006103516,76069
153.199996948242,76069
155.699996948242,76069
157.100006103516,76069
157.699996948242,76069
158,76069
157.5,76069
157.300003051758,76069
145.279998779297,76069
144.990005493164,76069
144.610000610352,76069
147.300003051758,76069
150.199996948242,76069
152.800003051758,76069
154.300003051758,76069
155.800003051758,76069
156.800003051758,76069
157.199996948242,76069
157.300003051758,76069
157.300003051758,76069
130.100006103516,76069
127.930000305176,76069
143.660003662109,76069
147.5,76069
150.800003051758,76069
151.800003051758,76069
153.899993896484,76069
155.300003051758,76069
156,76069
156.899993896484,76069
156.899993896484,76069
132.940002441406,76069
134.619995117188,76069
135.300003051758,76069
134.169998168945,76069
116.580001831055,76069
120.230003356934,76069
129.050003051758,76069
143.210006713867,76069
145.979995727539,76069
149.5,76069
153.100006103516,76069
153.800003051758,76069
155.399993896484,76069
156,76069
156.699996948242,76069
157.800003051758,76069
130.550003051758,76069
134.440002441406,76069
135.100006103516,76069
135.899993896484,76069
135.199996948242,76069
133.470001220703,76069
122.76000213623,76069
133.050003051758,76069
137.520004272461,76069
140.660003662109,76069
142.470001220703,76069
146.399993896484,76069
148.899993896484,76069
153,76069
155,76069
156,76069
156.600006103516,76069
156.800003051758,76069
156.899993896484,76069
157.100006103516,76069
129.580001831055,76069
133.899993896484,76069
135.100006103516,76069
135.699996948242,76069
136.100006103516,76069
136.399993896484,76069
133.910003662109,76069
113.76000213623,76069
127.269996643066,76069
137.050003051758,76069
140.949996948242,76069
142.990005493164,76069
145.300003051758,76069
147.100006103516,76069
150.399993896484,76069
151.899993896484,76069
154.899993896484,76069
155.800003051758,76069
156.199996948242,76069
157.5,76069
157.100006103516,76069
157.100006103516,76069
157.600006103516,76069
157.399993896484,76069
156,76069
129,76069
134.679992675781,76069
136.5,76069
136.600006103516,76069
137,76069
138.600006103516,76069
137.899993896484,76069
136.570007324219,76069
134.779998779297,76069
131.860000610352,76069
133,76069
133.820007324219,76069
136.389999389648,76069
141.889999389648,76069
143.899993896484,76069
146.100006103516,76069
147.300003051758,76069
150.600006103516,76069
152.199996948242,76069
154.399993896484,76069
155.399993896484,76069
156.100006103516,76069
156.399993896484,76069
156.199996948242,76069
156.699996948242,76069
157.100006103516,76069
157.5,76069
157.300003051758,76069
156.399993896484,76069
155.600006103516,76069
154.399993896484,76069
123.25,76069
135.570007324219,76069
137,76069
138.300003051758,76069
138.699996948242,76069
139.199996948242,76069
140,76069
140.300003051758,76069
140.740005493164,76069
141.270004272461,76069
141.600006103516,76069
142.789993286133,76069
144.399993896484,76069
146.199996948242,76069
147.699996948242,76069
149.800003051758,76069
151.899993896484,76069
153.5,76069
154.399993896484,76069
155.399993896484,76069
155.600006103516,76069
155.899993896484,76069
155.899993896484,76069
155.600006103516,76069
156.399993896484,76069
156.399993896484,76069
155.800003051758,76069
155.100006103516,76069
153.899993896484,76069
152,76069
128.139999389648,76069
138.169998168945,76069
139.100006103516,76069
140.600006103516,76069
141.300003051758,76069
142.100006103516,76069
143.100006103516,76069
143.399993896484,76069
144.100006103516,76069
144.699996948242,76069
145.199996948242,76069
146.100006103516,76069
147,76069
148.399993896484,76069
149.100006103516,76069
151.100006103516,76069
152.899993896484,76069
153.899993896484,76069
154.699996948242,76069
155.100006103516,76069
155,76069
154.699996948242,76069
154.300003051758,76069
154.300003051758,76069
153.899993896484,76069
153,76069
151.899993896484,76069
150.699996948242,76069
149.100006103516,76069
147.029998779297,76069
64.0800018310547,76069
95.4000015258789,76069
130.279998779297,76069
138.690002441406,76069
139.699996948242,76069
140.600006103516,76069
141.300003051758,76069
142.100006103516,76069
142.899993896484,76069
143.699996948242,76069
144.300003051758,76069
145.300003051758,76069
146.199996948242,76069
146.399993896484,76069
147.300003051758,76069
148.100006103516,76069
148.899993896484,76069
150.399993896484,76069
151.600006103516,76069
150.699996948242,76069
153.699996948242,76069
153.699996948242,76069
153.300003051758,76069
152.800003051758,76069
152.600006103516,76069
151.600006103516,76069
150.899993896484,76069
149.800003051758,76069
148.800003051758,76069
147.399993896484,76069
145.199996948242,76069
144.440002441406,76069
79.5100021362305,76069
92.6600036621094,76069
113.080001831055,76069
134.410003662109,76069
139,76069
139.699996948242,76069
140.699996948242,76069
141.199996948242,76069
141.800003051758,76069
142.5,76069
143.100006103516,76069
143.800003051758,76069
144.699996948242,76069
145.399993896484,76069
146.100006103516,76069
147.199996948242,76069
148.100006103516,76069
148.699996948242,76069
148.699996948242,76069
150.199996948242,76069
151,76069
151.300003051758,76069
151.399993896484,76069
151,76069
150.600006103516,76069
150.100006103516,76069
149.199996948242,76069
147.600006103516,76069
146.5,76069
145.399993896484,76069
143.699996948242,76069
141.440002441406,76069
138.740005493164,76069
113.690002441406,76069
-0.200000002980232,76069
73.5,76069
103.75,76069
112.040000915527,76069
120.970001220703,76069
134.070007324219,76069
133.479995727539,76069
138.199996948242,76069
139.399993896484,76069
140.800003051758,76069
141.100006103516,76069
141.600006103516,76069
142.300003051758,76069
143,76069
143.699996948242,76069
144.300003051758,76069
144.800003051758,76069
145.699996948242,76069
146.199996948242,76069
147.100006103516,76069
147.699996948242,76069
148.5,76069
148.600006103516,76069
148.699996948242,76069
148.800003051758,76069
148.600006103516,76069
148.399993896484,76069
148.600006103516,76069
148.399993896484,76069
147.699996948242,76069
146.5,76069
145,76069
143.600006103516,76069
141.5,76069
137.679992675781,76069
125.01000213623,76069
-0.200000002980232,76069
2.99000000953674,76069
12.5200004577637,76069
27.9200000762939,76069
68.9000015258789,76069
100.800003051758,76069
121.26000213623,76069
134.470001220703,76069
129.839996337891,76069
136,76069
137.699996948242,76069
138.5,76069
140.100006103516,76069
141.100006103516,76069
141.300003051758,76069
142.100006103516,76069
142.100006103516,76069
142,76069
143.199996948242,76069
144,76069
145.100006103516,76069
145.600006103516,76069
146.699996948242,76069
147.199996948242,76069
147.699996948242,76069
147.399993896484,76069
146.899993896484,76069
146.399993896484,76069
144.410003662109,76069
145.380004882813,76069
147.490005493164,76069
147.600006103516,76069
146.899993896484,76069
146,76069
145.899993896484,76069
144.300003051758,76069
141,76069
137.880004882813,76069
128.529998779297,76069
-0.200000002980232,76069
1.12000000476837,76069
7.05000019073486,76069
22,76069
41.810001373291,76069
70.4300003051758,76069
88.5500030517578,76069
109.230003356934,76069
131.320007324219,76069
135.389999389648,76069
136.699996948242,76069
137.800003051758,76069
139.100006103516,76069
140.600006103516,76069
140.399993896484,76069
140.100006103516,76069
139.800003051758,76069
139.800003051758,76069
141.899993896484,76069
143.300003051758,76069
144.399993896484,76069
146.100006103516,76069
145.800003051758,76069
146.399993896484,76069
146.600006103516,76069
146.300003051758,76069
145.580001831055,76069
143.75,76069
130.100006103516,76069
134.970001220703,76069
146.660003662109,76069
146.830001831055,76069
146.190002441406,76069
145.610000610352,76069
142.639999389648,76069
143.570007324219,76069
140.970001220703,76069
122.589996337891,76069
108.620002746582,76069
-0.170000001788139,76069
1.94000005722046,76069
6.75,76069
13.2700004577637,76069
21.3400001525879,76069
33.3300018310547,76069
57.8300018310547,76069
80.5500030517578,76069
103.660003662109,76069
124.25,76069
136.070007324219,76069
137.100006103516,76069
137.899993896484,76069
138.399993896484,76069
136.899993896484,76069
137.699996948242,76069
138.699996948242,76069
139.800003051758,76069
142.300003051758,76069
144.699996948242,76069
145.300003051758,76069
146.600006103516,76069
145.600006103516,76069
145.589996337891,76069
145.720001220703,76069
143.220001220703,76069
142.25,76069
127.26000213623,76069
107.160003662109,76069
110.76000213623,76069
127.449996948242,76069
128.5,76069
127.040000915527,76069
125.089996337891,76069
121.589996337891,76069
125.620002746582,76069
128.490005493164,76069
105.580001831055,76069
-0.150000005960464,76069
0.560000002384186,76069
7.1100001335144,76069
23.5100002288818,76069
29.0499992370606,76069
27.3400001525879,76069
33.75,76069
54.4000015258789,76069
75.9100036621094,76069
100.620002746582,76069
129.210006713867,76069
136.419998168945,76069
136.550003051758,76069
135.279998779297,76069
134.259994506836,76069
137.600006103516,76069
138.699996948242,76069
141.300003051758,76069
143.300003051758,76069
144.600006103516,76069
145.199996948242,76069
145.199996948242,76069
144.600006103516,76069
144.25,76069
140.389999389648,76069
123.650001525879,76069
111.660003662109,76069
96.6100006103516,76069
75.0100021362305,76069
84.1500015258789,76069
95.2300033569336,76069
96.379997253418,76069
94.8000030517578,76069
89.120002746582,76069
82.8099975585938,76069
90.6100006103516,76069
94.9800033569336,76069
-0.109999999403954,76069
0.400000005960465,76069
5.90000009536743,76069
37.0800018310547,76069
63.3600006103516,76069
55.1100006103516,76069
40,76069
41.0200004577637,76069
60.1800003051758,76069
85.5599975585938,76069
111.01000213623,76069
124.800003051758,76069
125.510002136231,76069
122.980003356934,76069
136.169998168945,76069
138.699996948242,76069
140.199996948242,76069
142.300003051758,76069
143.600006103516,76069
144.100006103516,76069
144.800003051758,76069
144.300003051758,76069
143.5,76069
139.520004272461,76069
116.620002746582,76069
98.6800003051758,76069
79.0100021362305,76069
-0.100000001490116,76069
-0.100000001490116,76069
6.05000019073486,76069
43.7000007629395,76069
82.370002746582,76069
86.3000030517578,76069
72.2300033569336,76069
54.6800003051758,76069
51.1599998474121,76069
66.5400009155274,76069
85.4800033569336,76069
90.2300033569336,76069
99.6600036621094,76069
122.949996948242,76069
136.300003051758,76069
139.600006103516,76069
141.699996948242,76069
143.100006103516,76069
143.800003051758,76069
144.699996948242,76069
144.699996948242,76069
143.600006103516,76069
141.619995117188,76069
125.930000305176,76069
102,76069
77.120002746582,76069
1.35000002384186,76069
-0.100000001490116,76069
8.93000030517578,76069
42.6500015258789,76069
82.4700012207031,76069
102.690002441406,76069
97.0400009155274,76069
86.5500030517578,76069
68.5500030517578,76069
71.370002746582,76069
76.9800033569336,76069
93.0199966430664,76069
112.580001831055,76069
133.960006713867,76069
137.699996948242,76069
140.300003051758,76069
142.199996948242,76069
143.100006103516,76069
143.699996948242,76069
144.100006103516,76069
144.399993896484,76069
143.100006103516,76069
140.559997558594,76069
113.730003356934,76069
89.7200012207031,76069
62.75,76069
1.62000000476837,76069
-0.100000001490116,76069
6.90000009536743,76069
33.6500015258789,76069
56.9300003051758,76069
83.8399963378906,76069
110.26000213623,76069
107.25,76069
92.620002746582,76069
96.1100006103516,76069
100.26000213623,76069
113.059997558594,76069
132.289993286133,76069
136.699996948242,76069
138.100006103516,76069
140.100006103516,76069
142.399993896484,76069
143.100006103516,76069
143.300003051758,76069
142.899993896484,76069
142.600006103516,76069
142.490005493164,76069
140.800003051758,76069
110.26000213623,76069
79.2900009155274,76069
1.96000003814697,76069
-0.100000001490116,76069
5.96000003814697,76069
17.1499996185303,76069
30.9699993133545,76069
59.2200012207031,76069
90.3600006103516,76069
119.790000915527,76069
111.360000610352,76069
122.800003051758,76069
127.730003356934,76069
130.699996948242,76069
134.899993896484,76069
137.100006103516,76069
139.100006103516,76069
140.100006103516,76069
141.300003051758,76069
141.600006103516,76069
141.199996948242,76069
141.100006103516,76069
141.100006103516,76069
141.399993896484,76069
138.880004882813,76069
113.879997253418,76069
79.7300033569336,76069
-0.100000001490116,76069
1.95000004768372,76069
-0.100000001490116,76069
5.80000019073486,76069
31.9799995422363,76069
36.4700012207031,76069
44.6500015258789,76069
79.5,76069
108.220001220703,76069
120.589996337891,76069
124.349998474121,76069
129.889999389648,76069
131.699996948242,76069
133.899993896484,76069
137,76069
139.100006103516,76069
140,76069
140.699996948242,76069
140.199996948242,76069
139.800003051758,76069
138.380004882813,76069
137.160003662109,76069
137.630004882813,76069
124.76000213623,76069
105.379997253418,76069
79.4400024414063,76069
-0.100000001490116,76069
2.34999990463257,76069
-0.100000001490116,76069
7.55000019073486,76069
37.5900001525879,76069
60.5,76069
44.4099998474121,76069
63.1500015258789,76069
93.6800003051758,76069
114.540000915527,76069
122.150001525879,76069
127.900001525879,76069
135,76069
135.399993896484,76069
135.800003051758,76069
138.5,76069
138.800003051758,76069
139.100006103516,76069
138,76069
137.740005493164,76069
138.020004272461,76069
136.300003051758,76069
102.519996643066,76069
100.690002441406,76069
82.3399963378906,76069
60.9500007629395,76069
-0.0900000035762787,76069
2.92000007629395,76069
-0.0900000035762787,76069
10.4700002670288,76069
45.8600006103516,76069
78.1800003051758,76069
65.25,76069
56,76069
78.0100021362305,76069
99.6100006103516,76069
108.480003356934,76069
126.569999694824,76069
135.300003051758,76069
136.899993896484,76069
136,76069
135.800003051758,76069
136.600006103516,76069
137.699996948242,76069
137.259994506836,76069
125.690002441406,76069
111.180000305176,76069
102.410003662109,76069
87.2699966430664,76069
68.9300003051758,76069
53.5200004577637,76069
-0.0900000035762787,76069
3.05999994277954,76069
-0.0900000035762787,76069
10.0600004196167,76069
50.2900009155274,76069
92.6100006103516,76069
89.0199966430664,76069
71.9800033569336,76069
70.0100021362305,76069
83.8399963378906,76069
108.080001831055,76069
127.930000305176,76069
134.899993896484,76069
134.899993896484,76069
134.399993896484,76069
133.300003051758,76069
134.899993896484,76069
135.889999389648,76069
134.270004272461,76069
109.660003662109,76069
81.25,76069
76.1999969482422,76069
57.2200012207031,76069
47.4300003051758,76069
-0.0700000002980232,76069
-0.0700000002980232,76069
1.0900000333786,76069
-0.0700000002980232,76069
17.7000007629395,76069
48.5400009155273,76069
76.9100036621094,76069
97.9499969482422,76069
88.4400024414063,76069
94.1100006103516,76069
89.8000030517578,76069
111.610000610352,76069
131.979995727539,76069
133.5,76069
130.199996948242,76069
130.740005493164,76069
130.899993896484,76069
133.300003051758,76069
133.470001220703,76069
122.839996337891,76069
96.4300003051758,76069
67.7600021362305,76069
45.6100006103516,76069
-0.0700000002980232,76069
-0.0700000002980232,76069
5.17000007629395,76069
-0.0700000002980232,76069
11.3400001525879,76069
49.6100006103516,76069
72.0599975585938,76069
93.4499969482422,76069
104.050003051758,76069
117,76069
113.309997558594,76069
123.779998779297,76069
