"";"type";"val";"freq"
"1";"LPRM_1";28276748,4829195;0,571639201957723
"2";"LPRM_2";15190574,0550372;0,307090740484056
"3";"LPRM_3";3369733,42578487;0,0681221084344081
"4";"LPRM_4";20829,7951095092;0,000421092526268895
"5";"LPRM_5";304281,939462068;0,00615132553692701
"6";"LPRM_6";665648,502504156;0,0134566666668084
"7";"LPRM_7";331821,20366327;0,00670805584911221
"8";"LPRM_8";47439,0290367827;0,000959021463044672
"9";"LPRM_9";3321,51938612268;6,7147419453732e-05
"10";"LPRM_Z";1255678,52694368;0,0253846396621987
