interval,interval_min,interval_max,type_betail,nb
"48000,50000",48000,50000,total_ovins,0
"48000,50000",48000,50000,total_population,4.89829119202564
"48000,50000",48000,50000,total_porcins,0
"50000,52000",50000,52000,total_bovins,0
"50000,52000",50000,52000,total_caprins,0
"50000,52000",50000,52000,total_equides,0
"50000,52000",50000,52000,total_ovins,0
"50000,52000",50000,52000,total_population,2.27476528020746
"50000,52000",50000,52000,total_porcins,0
"52000,54000",52000,54000,total_bovins,0
"52000,54000",52000,54000,total_caprins,0
"52000,54000",52000,54000,total_equides,0
"52000,54000",52000,54000,total_ovins,0
"52000,54000",52000,54000,total_population,1.93160283514152
"52000,54000",52000,54000,total_porcins,0
"54000,56000",54000,56000,total_bovins,0
"54000,56000",54000,56000,total_caprins,0
"54000,56000",54000,56000,total_equides,0
"54000,56000",54000,56000,total_ovins,0
"54000,56000",54000,56000,total_population,4.1116316394373
"54000,56000",54000,56000,total_porcins,0
"56000,58000",56000,58000,total_bovins,0
"56000,58000",56000,58000,total_caprins,0
"56000,58000",56000,58000,total_equides,0
"56000,58000",56000,58000,total_ovins,0
"56000,58000",56000,58000,total_population,6.39286699548457
"56000,58000",56000,58000,total_porcins,0
"58000,60000",58000,60000,total_bovins,0
"58000,60000",58000,60000,total_caprins,0
"58000,60000",58000,60000,total_equides,0.000415550328383884
"58000,60000",58000,60000,total_ovins,0
"58000,60000",58000,60000,total_population,3.48139388203716
"58000,60000",58000,60000,total_porcins,0
"60000,62000",60000,62000,total_bovins,0
"60000,62000",60000,62000,total_caprins,0
"60000,62000",60000,62000,total_equides,15.4577122824069
"60000,62000",60000,62000,total_ovins,0
"60000,62000",60000,62000,total_population,2.64245751548189
"60000,62000",60000,62000,total_porcins,0
"62000,64000",62000,64000,total_bovins,0
"62000,64000",62000,64000,total_caprins,0
"62000,64000",62000,64000,total_equides,29.2004555200602
"62000,64000",62000,64000,total_ovins,0
"62000,64000",62000,64000,total_population,3.68554850265426
"62000,64000",62000,64000,total_porcins,0
"64000,66000",64000,66000,total_bovins,0
"64000,66000",64000,66000,total_caprins,0
"64000,66000",64000,66000,total_equides,0.0000000000000579245156026852
"64000,66000",64000,66000,total_ovins,0
"64000,66000",64000,66000,total_population,3.29114273731167
"64000,66000",64000,66000,total_porcins,0
"66000,68000",66000,68000,total_bovins,0
"66000,68000",66000,68000,total_caprins,0
"66000,68000",66000,68000,total_equides,0
"66000,68000",66000,68000,total_ovins,0
"66000,68000",66000,68000,total_population,2.81732111234011
