id,id_c,x,y,pct_cloud,date_MM,NAME_FR,ADM0_A3,POP_MAX,RANK_MAX,continent,admin,region_un,region_wb,subregion,name_fr
826745,1116,106.5,29.5,0.744275939509724,AN,Chongqing,CHN,6461000,13,Asia,China,Asia,East Asia & Pacific,Eastern Asia,RÈpublique populaire de Chine
863502,1117,119.25,26,0.702514772670287,AN,Fuzhou,CHN,2606000,12,Asia,China,Asia,East Asia & Pacific,Eastern Asia,RÈpublique populaire de Chine
846186,1118,113.25,23,0.657656938063376,AN,Canton,CHN,8829000,13,Asia,China,Asia,East Asia & Pacific,Eastern Asia,RÈpublique populaire de Chine
847628,1119,113.75,23,0.646422712470998,AN,Dongguan,CHN,4528000,12,Asia,China,Asia,East Asia & Pacific,Eastern Asia,RÈpublique populaire de Chine
829483,1120,107.5,-7,0.811543906502651,AN,Bandung,IDN,2394000,12,Asia,Indonesia,Asia,East Asia & Pacific,South-Eastern Asia,IndonÈsie
844623,1121,112.75,-7.25,0.68026791987094,AN,Surabaya,IDN,2845000,12,Asia,Indonesia,Asia,East Asia & Pacific,South-Eastern Asia,IndonÈsie
288752,1122,-80,-2.25,0.841908203155706,AN,Guayaquil,ECU,2514000,12,South America,Ecuador,Americas,Latin America & Caribbean,South America,…quateur
301764,1123,-75.5,6.25,0.889829759570685,AN,Medell√≠n,COL,3297000,12,South America,Colombia,Americas,Latin America & Caribbean,South America,Colombie
298869,1124,-76.5,3.5,0.886730664833026,AN,Cali,COL,2254000,12,South America,Colombia,Americas,Latin America & Caribbean,South America,Colombie
282365,1125,-82.25,23.25,0.478137457686843,AN,La Havane,CUB,2174000,12,North America,Cuba,Americas,Latin America & Caribbean,Caribbean,Cuba
606126,1126,30,31.25,0.261352315248752,AN,Alexandrie,EGY,4165000,12,Africa,Egypt,Africa,Middle East & North Africa,Northern Africa,…gypte
544916,1127,8.75,50,0.657172645018859,AN,Francfort,DEU,2895000,12,Europe,Germany,Europe,Europe & Central Asia,Western Europe,Allemagne
548535,1128,10,53.5,0.697444115285621,AN,Hambourg,DEU,1757000,12,Europe,Germany,Europe,Europe & Central Asia,Western Europe,Allemagne
552840,1129,11.5,48.25,0.653459557416764,AN,Munich,DEU,1275000,12,Europe,Germany,Europe,Europe & Central Asia,Western Europe,Allemagne
561499,1130,14.5,50,0.649043525371588,AN,Prague,CZE,1162000,12,Europe,Czechia,Europe,Europe & Central Asia,Eastern Europe,RÈpublique tchËque
658030,1131,48,29.25,0.190573381590653,AN,Kowe√Øt,KWT,2063000,12,Asia,Kuwait,Asia,Middle East & North Africa,Western Asia,KoweÔt
833974,1132,109,34.25,0.548930668526075,AN,Xi'an,CHN,4009000,12,Asia,China,Asia,East Asia & Pacific,Eastern Asia,RÈpublique populaire de Chine
