INSEE_COM,NOM_COM,val_NORRR1MM_TOT_m,val_NORRR_TOT
54166,Dommartin-la-Chaussée,11.0649556968337,825.534524987919
54099,Val de Briey,11.2501786595116,833.054095002231
55270,Lahayville,11.0570255858362,808.311954712851
60196,La Drenne,10.9514360450292,771.832439020201
72054,Champagné,10.0946189698873,700.847218965456
44005,Chaumes-en-Retz,10.0454219520274,763.242774966067
49200,Longuenée-en-Anjou,9.43364533337744,629.991051511843
61483,Bagnoles de l'Orne Normandie,11.3828970739775,901.429244402933
27198,Mesnils-sur-Iton,10.3854024933385,662.343569224827
27157,Marbois,10.3700976076996,666.121043816241
39017,Arlay,11.7718478186511,1183.01452083225
27085,Flancourt-Crescy-en-Roumois,11.5389859202545,837.763901418064
27349,Illeville-sur-Montfort,11.4696633303699,832.266792484847
01338,Groslée-Saint-Benoit,10.5371966811482,1243.12529840619
79013,Argentonnay,9.50384524647673,714.712332792301
08115,Chémery-Chéhéry,11.247581420728,912.172431222758
36202,Saint-Maur,10.1786254333945,718.806243480674
28183,Gommerville,9.71829599344205,623.044442867319
72329,Savigné-l'Évêque,10.0662488052995,702.528091936285
72026,Beaufay,10.0810873967517,707.46772523057
22203,Ploeuc-L'Hermitage,11.441009540798,874.964781832287
50492,Saint-Jean-d'Elle,12.1684454615186,1034.64807370429
46103,Saint-Paul-Flaugnac,9.31841899787361,826.639559480179
39021,La Chailleuse,12.2297914973386,1390.42403957087
72101,Courcemont,10.075255540108,706.720810533795
59185,Écaillon,10.9565231768325,709.463602636007
46138,Cœur de Causse,10.5651787310046,945.042881045027
50535,Le Parc,12.4179449873211,1059.87872950625
50565,Sartilly-Baie-Bocage,12.3933847113583,1028.07276582407
48050,Bédouès-Cocurès,10.5456705051387,1333.17810719267
56197,Val d'Oust,10.4694110988714,825.934049227917
32231,Marambat,9.22421166365191,742.670401782256
73290,Val-Cenis,11.0424056570542,1161.7202098268
54441,Puxieux,11.0648418763039,815.533866854047
32235,Margouët-Meymes,9.57564498715502,806.773132448418
48009,Peyre en Aubrac,10.8484706864976,1022.60073381955
19010,Argentat-sur-Dordogne,11.2984524871429,1254.84792180752
32070,Cahuzac-sur-Adour,10.2832668088014,893.339800940748
32111,Courties,9.80367249675008,826.103826971741
54535,Tronville,11.1210870462096,821.442077300137
15142,Neuvéglise-sur-Truyère,9.95393523642335,795.275972571249
53017,Val-du-Maine,9.69669879133928,702.39146181548
32191,Lanne-Soubiran,10.1604805931387,872.053557097234
54112,Chambley-Bussières,11.1213641741622,821.848899995921
16230,Montmoreau,10.4663159273925,866.125565611392
39455,Reithouse,12.4606564682218,1485.53428051484
32245,Maumusson-Laguian,10.3340073596282,907.249392027113
32125,Espas,10.122264653641,881.223446187265
32175,Ladevèze-Ville,10.3253224419612,900.784290609225
32214,Loubédat,10.0714856179573,867.890138858783
57318,Hermelange,12.0356354688992,963.801000571571
64118,Bétracq,10.6926349329532,1015.31729440784
32414,Sarragachies,10.2455436253652,887.559517780697
57675,Torcheville,11.8215939904093,835.062285463503
65248,Lahitte-Toupière,10.5175432884755,972.264167249618
65429,Sombrun,10.449106563124,941.945310694305
65472,Villefranque,10.4845354275994,949.282053648251
48146,Gorges du Tarn Causses,10.5971531775695,1010.81814325287
32445,Tieste-Uragnoux,10.3148308852032,897.512281720346
54599,Xonville,11.0249689766356,823.480144531178
14200,Creully sur Seulles,11.3307803430086,771.325258704765
65137,Caussade-Rivière,10.4370547620855,931.121789568094
65219,Hères,10.4098078795506,921.259832848782
14406,Moulins en Bessin,11.3077120678987,759.596034522572
32151,Goux,10.3325376900735,903.608941226414
14355,Ponts sur Seulles,11.2769452860648,769.606446922271
16023,Aunac-sur-Charente,10.2138695279857,861.308176513396
32330,Préchac-sur-Adour,10.3061796245224,898.962600561441
65215,Hagedet,10.5853236156328,979.76111240904
57595,Rorbach-lès-Dieuze,11.7301047918878,837.911340425871
32390,Saint-Martin-d'Armagnac,10.2020626296305,881.050004543021
72308,Saint-Paterne - Le Chevain,10.7097587751092,781.951318513729
76146,Buchy,12.0933642126291,899.883216316168
54564,Viéville-en-Haye,11.1184119944865,818.328684657326
57077,Bezange-la-Petite,11.5643617848217,810.935395426709
54249,Hannonville-Suzémont,11.004969846336,811.230422622304
37123,Langeais,9.38838207884085,674.569725721745
55281,Latour-en-Woëvre,10.9637404779403,825.01099563552
54087,Bouillonville,11.1045958326892,819.154656311233
25460,Le Val,12.8005657635908,1174.0620290598
33268,Margaux-Cantenac,9.92260048730614,876.171838728062
14658,Noues de Sienne,12.3334609476361,997.876155151382
48094,Massegros Causses Gorges,10.4113183347039,987.828104058332
53161,Montsûrs-Saint-Céneré,9.91519326102189,773.741616608163
11015,Arques,10.4781146653415,937.121917253724
15138,Murat,11.5819829962225,1210.81224892801
51171,Cormicy,10.3922215726909,660.049877590327
57482,Ogy-Montoy-Flanville,11.1152056863956,764.051089956247
32005,Arblade-le-Haut,10.1578522514283,873.986659044817
27062,Les Monts du Roumois,11.5257240278118,823.840214414616
27089,Thénouville,11.5295839411818,829.535521313224
39290,Valzin en Petite Montagne,12.393480576184,1514.86898868415
64390,Moncaup,10.7067625827132,1028.03343363944
64394,Monpezat,10.7442034687564,1034.83343953709
14281,Formigny La Bataille,11.224535374816,767.856862764383
38297,Arandon-Passins,10.5112932925302,1036.25175727052
37021,Beaumont-Louestault,9.37857601195937,676.349576624741
22107,Bon Repos sur Blavet,12.992816830611,1032.53995166924
69024,Val d'Oingt,10.1559089921047,824.393864562831
33323,Le Pian-sur-Garonne,9.9574742614669,821.350793963275
32093,Caumont,10.2227244476323,880.974461859334
90005,Auxelles-Bas,13.1936274013959,2036.23733028953
79136,Alloinay,10.2825574743255,860.147086173299
14712,Saline,11.2382479421079,747.299053336421
40243,Rion-des-Landes,11.2117723888348,1168.29388559228
04033,Ubaye-Serre-Ponçon,8.03754459172043,792.520469893066
64225,Ance Féas,12.0576382361538,1338.54434528991
45051,Bray-Saint Aignan,9.9746195291943,683.406498231252
89405,Les Hauts de Forterre,10.8665124615089,790.817294515654
58204,Vaux d'Amognes,11.2333612002878,896.650708471541
32439,Tarsac,10.2367144303237,881.317754032924
88475,Tollaincourt,11.7021754402304,931.942133525459
25156,Pays de Clerval,12.8129648225337,1111.7298951804
21195,Cormot-Vauchignon,10.8874843848422,868.626370117921
32380,Saint-Griède,10.1790417136462,875.384886244365
32244,Maulichères,10.2331482171141,885.190722945342
