nom,pipe,saisonepisode,lieu_date,video,url,date,lieu_1,lieu_2,lieu_3,lieu_4,lieu_5,lieu_6,lieu_7,lieu_8,lieu_9,lieu_10,lieu_11
La disparition du pasteur Doucé,Pipe de bronze - épisode moyen,saison 5 épisode 4,"Lieux : Paris (75), Rambouillet (78)

Début de l'affaire : 1990",https://www.youtube.com/embed/Fp0kLawWIec?enablejsapi=1&origin=https%3A%2F%2Fwww.fela.fr&widgetid=1,affaire/30/la-disparition-du-pasteur-douce, 1990,Paris (75)," Rambouillet (78)

",,,,,,,,,
"Joël Matencio, le groupe 666",Pipe de bronze - épisode moyen,saison 5 épisode 5,"Lieu : Grenoble (38)

Début de l'affaire : 1976",https://www.youtube.com/embed/uTddTZuw6_4?enablejsapi=1&origin=https%3A%2F%2Fwww.fela.fr&widgetid=1,affaire/31/joel-matencio-le-groupe-666, 1976,"Grenoble (38)

",,,,,,,,,,
L'enlèvement du baron Empain,Pipe d'or - très bon épisode,saison 5 épisode 6,"Lieu : Paris (75)

Début de l'affaire : 1978",https://www.youtube.com/embed/5K4GmrFYtMI?enablejsapi=1&origin=https%3A%2F%2Fwww.fela.fr&widgetid=1,affaire/32/lenlevement-du-baron-empain, 1978,"Paris (75)

",,,,,,,,,,
"Alfredo Stranieri, voleur de vie",Pipe d'or - très bon épisode,saison 5 épisode 7,"Lieux : Bez-de-Naussac (12), Viry-Châtillon (91)

Début de l'affaire : 1997",https://www.youtube.com/embed/_pDLb7AGrjg?enablejsapi=1&origin=https%3A%2F%2Fwww.fela.fr&widgetid=1,affaire/33/alfredo-stranieri-voleur-de-vie, 1997,Bez-de-Naussac (12)," Viry-Châtillon (91)

",,,,,,,,,
"Rezala, le tueur des trains",Pipe d'or - très bon épisode,saison 5 épisode 8,"Lieux : Marseille (13), Chabenet (36), Amiens (80), Portugal

Début de l'affaire : 1999",https://www.youtube.com/embed/KOeqDbtHOpo?enablejsapi=1&origin=https%3A%2F%2Fwww.fela.fr&widgetid=1,affaire/34/rezala-le-tueur-des-trains, 1999,Marseille (13), Chabenet (36), Amiens (80)," Portugal

",,,,,,,
"Pierre Dubois, meurtre au collège",Pipe d'argent - bon épisode,saison 5 épisode 9,"Lieu : La Chapelle-Saint-Luc (10)

Début de l'affaire : 1993",https://www.youtube.com/embed/XmOHy75n23s?enablejsapi=1&origin=https%3A%2F%2Fwww.fela.fr&widgetid=1,affaire/35/pierre-dubois-meurtre-au-college, 1993,"La Chapelle-Saint-Luc (10)

",,,,,,,,,,
"Nadir Sedrati, le dépeceur du canal",Pipe de bronze - épisode moyen,saison 5 épisode 10,"Lieux : Jarville-la-Malgrange (54), Laxou (54)

Début de l'affaire : 1999",https://www.youtube.com/embed/3l6a1JeRkkE?enablejsapi=1&origin=https%3A%2F%2Fwww.fela.fr&widgetid=1,affaire/36/nadir-sedrati-le-depeceur-du-canal, 1999,Jarville-la-Malgrange (54)," Laxou (54)

",,,,,,,,,
"Marcel Lechien, le maître d'école",Pipe de bronze - épisode moyen,saison 5 épisode 11,"Lieu : Cormeille (27)

Début de l'affaire : 1989",https://www.youtube.com/embed/jtSLgB1GypA?enablejsapi=1&origin=https%3A%2F%2Fwww.fela.fr&widgetid=1,affaire/37/marcel-lechien-le-maitre-decole, 1989,"Cormeille (27)

",,,,,,,,,,
"Émile Louis, les disparues de l'Yonne",Pipe d'argent - bon épisode,saison 5 épisode 12,"Lieu : Département de l'Yonne (89)

Début de l'affaire : 1977",,affaire/38/emile-louis-les-disparues-de-lyonne, 1977,"Département de l'Yonne (89)

",,,,,,,,,,
"L'affaire Alain Lamare, état de démence",Pipe d'argent - bon épisode,saison 5 épisode 13,"Lieux : Chantilly (60), Creil (60), Fitz-James (60), Orry-la-Ville (60), Pont-Sainte-Maxence (60), Senarpont (80)

Début de l'affaire : 1978",https://www.youtube.com/embed/3XALCmUOwYA?enablejsapi=1&origin=https%3A%2F%2Fwww.fela.fr&widgetid=1,affaire/39/laffaire-alain-lamare-etat-de-demence, 1978,Chantilly (60), Creil (60), Fitz-James (60), Orry-la-Ville (60), Pont-Sainte-Maxence (60)," Senarpont (80)

",,,,,
"Jamila Belkacem, l'empoisonneuse",Pipe d'argent - bon épisode,saison 5 épisode 14,"Lieux : Bourg-en-Bresse (01), Villefranche-sur-Saône (69)

Début de l'affaire : 1999",https://www.youtube.com/embed/oO2NTVX2DXk?enablejsapi=1&origin=https%3A%2F%2Fwww.fela.fr&widgetid=1,affaire/40/jamila-belkacem-lempoisonneuse, 1999,Bourg-en-Bresse (01)," Villefranche-sur-Saône (69)

",,,,,,,,,
"Francisco Arce Montes, l'affaire Caroline Dickinson",Pipe d'or - très bon épisode,saison 6 épisode 1,"Lieu : Pleine-Fougères (35)

Début de l'affaire : 1996",https://www.youtube.com/embed/SFkKeUw4gf8?enablejsapi=1&origin=https%3A%2F%2Fwww.fela.fr&widgetid=1,affaire/41/francisco-arce-montes-laffaire-caroline-dickinson, 1996,"Pleine-Fougères (35)

",,,,,,,,,,
Les profanateurs du cimetière de Carpentras,Pipe d'argent - bon épisode,saison 6 épisode 2,"Lieu : Carpentras (84)

Début de l'affaire : 1990",https://www.youtube.com/embed/_GrAlsZjG80?enablejsapi=1&origin=https%3A%2F%2Fwww.fela.fr&widgetid=1,affaire/42/les-profanateurs-du-cimetiere-de-carpentras, 1990,"Carpentras (84)

",,,,,,,,,,
"Pierre Bodein, Pierrot le fou",Pipe d'or - très bon épisode,saison 6 épisode 3,"Lieux : Bourgheim (67), Hindisheim (67), Rhinau (67), Schirmeck (67)

Début de l'affaire : 2004",https://www.youtube.com/embed/4ijmlUz-qHo?enablejsapi=1&origin=https%3A%2F%2Fwww.fela.fr&widgetid=1,affaire/43/pierre-bodein-pierrot-le-fou, 2004,Bourgheim (67), Hindisheim (67), Rhinau (67)," Schirmeck (67)

",,,,,,,
"Arnaud Thomas-Chevallier, le meurtre de maître Flauder",Pipe d'or - très bon épisode,saison 6 épisode 4,"Lieu : Muzeray (55)

Début de l'affaire : 1980",https://www.youtube.com/embed/V35sK-wXdEs?enablejsapi=1&origin=https%3A%2F%2Fwww.fela.fr&widgetid=1,affaire/44/arnaud-thomas-chevallier-le-meurtre-de-maitre-flauder, 1980,"Muzeray (55)

",,,,,,,,,,
"Bruno Joushomme, meurtre en 2 CV",Pipe de bronze - épisode moyen,saison 6 épisode 5,"Lieu : Chaville (92)

Début de l'affaire : 1985",https://www.youtube.com/embed/VEZuBwir6Nw?enablejsapi=1&origin=https%3A%2F%2Fwww.fela.fr&widgetid=1,affaire/45/bruno-joushomme-meurtre-en-2-cv, 1985,"Chaville (92)

",,,,,,,,,,
Le meurtre du député Benbara,Pipe d'or - très bon épisode,saison 6 épisode 6,"Lieux : Paris (75), Nanterre (92)

Début de l'affaire : 2003",,affaire/46/le-meurtre-du-depute-benbara, 2003,Paris (75)," Nanterre (92)

",,,,,,,,,
"Pierre Goldman, l'assassinat",Pipe d'argent - bon épisode,saison 6 épisode 7,"Lieu : Paris (75)

Début de l'affaire : 1969",https://www.youtube.com/embed/g8vWlvAzzGA?enablejsapi=1&origin=https%3A%2F%2Fwww.fela.fr&widgetid=1,affaire/47/pierre-goldman-lassassinat, 1969,"Paris (75)

",,,,,,,,,,
"Les frères Jourdain, meurtres au carnaval",Pipe de diamant - excellent épisode,saison 6 épisode 8,"Lieux : Dannes (62), Le Portel (62), Sainte-Cécile (62)

Début de l'affaire : 1997",https://www.youtube.com/embed/egq6mP6p3gU?enablejsapi=1&origin=https%3A%2F%2Fwww.fela.fr&widgetid=1,affaire/48/les-freres-jourdain-meurtres-au-carnaval, 1997,Dannes (62), Le Portel (62)," Sainte-Cécile (62)

",,,,,,,,
La French Connection,Pipe d'argent - bon épisode,saison 6 épisode 9,"Lieux : Marseille (13), États-Unis

Début de l'affaire : 1962",https://www.youtube.com/embed/BLOOarUb-4s?enablejsapi=1&origin=https%3A%2F%2Fwww.fela.fr&widgetid=1,affaire/49/la-french-connection, 1962,Marseille (13)," États-Unis

",,,,,,,,,
Les amants maudits,Pipe d'argent - bon épisode,saison 6 épisode 10,"Lieu : Sougy (45)

Début de l'affaire : 1998",https://www.youtube.com/embed/Y34_TKqgCos?enablejsapi=1&origin=https%3A%2F%2Fwww.fela.fr&widgetid=1,affaire/50/les-amants-maudits, 1998,"Sougy (45)

",,,,,,,,,,
L'assassinat du « Sheriff »,Pipe d'argent - bon épisode,saison 6 épisode 11,"Lieu : Lyon (69)

Début de l'affaire : 1975",https://www.youtube.com/embed/ZYrJUPaV8Qw?enablejsapi=1&origin=https%3A%2F%2Fwww.fela.fr&widgetid=1,affaire/51/lassassinat-du-sheriff, 1975,"Lyon (69)

",,,,,,,,,,
"Yann Piat, une femme à abattre",Pipe d'argent - bon épisode,saison 6 épisode 12,"Lieu : Hyères (83)

Début de l'affaire : 1994",https://www.youtube.com/embed/8ugqcBb0Os0?enablejsapi=1&origin=https%3A%2F%2Fwww.fela.fr&widgetid=1,affaire/52/yann-piat-une-femme-a-abattre, 1994,"Hyères (83)

",,,,,,,,,,
"Jean-Claude Romand, le menteur",Pipe de diamant - excellent épisode,saison 7 épisode 1,"Lieux : Prévessin-Moëns (01), Clairvaux-les-Lacs (39)

Début de l'affaire : 1993",https://www.youtube.com/embed/zzTxz7nOOdo?enablejsapi=1&origin=https%3A%2F%2Fwww.fela.fr&widgetid=1,affaire/53/jean-claude-romand-le-menteur, 1993,Prévessin-Moëns (01)," Clairvaux-les-Lacs (39)

",,,,,,,,,
"Roland Cazaux, le chat",Pipe de diamant - excellent épisode,saison 7 épisode 2,"Lieux : Arcachon (33), Hossegor (40), Biarritz (64)

Début de l'affaire : 1987",https://www.youtube.com/embed/DBFgHAA0lN0?enablejsapi=1&origin=https%3A%2F%2Fwww.fela.fr&widgetid=1,affaire/54/roland-cazaux-le-chat, 1987,Arcachon (33), Hossegor (40)," Biarritz (64)

",,,,,,,,
"Khaled Kelkal, ennemi public numéro 1",Pipe de diamant - excellent épisode,saison 7 épisode 3,"Lieux : Vaugneray (69), Villeurbanne (69), Paris (75)

Début de l'affaire : 1995",https://www.youtube.com/embed/DS9E8FZ9wkQ?enablejsapi=1&origin=https%3A%2F%2Fwww.fela.fr&widgetid=1,affaire/55/khaled-kelkal-ennemi-public-numero-1, 1995,Vaugneray (69), Villeurbanne (69)," Paris (75)

",,,,,,,,
La tuerie d'Auriol,Pipe d'argent - bon épisode,saison 7 épisode 4,"Lieu : Auriol (13)

Début de l'affaire : 1981",https://www.youtube.com/embed/iwhlL5Vdycs?enablejsapi=1&origin=https%3A%2F%2Fwww.fela.fr&widgetid=1,affaire/56/la-tuerie-dauriol, 1981,"Auriol (13)

",,,,,,,,,,
"Paul Touvier, la traque",Pipe d'or - très bon épisode,saison 7 épisode 5,"Lieux : Nice (06), Rillieux-la-Pape (69), Chambery (73)

Début de l'affaire : 1972",https://www.youtube.com/embed/ACXZ7YruETI?enablejsapi=1&origin=https%3A%2F%2Fwww.fela.fr&widgetid=1,affaire/57/paul-touvier-la-traque, 1972,Nice (06), Rillieux-la-Pape (69)," Chambery (73)

",,,,,,,,
"Jean-Claude Bonnal, le Chinois",Pipe d'argent - bon épisode,saison 7 épisode 6,"Lieux : Paris (75), Athis-Mons (91)

Début de l'affaire : 1998",https://www.youtube.com/embed/k6KKbgMJuuA?enablejsapi=1&origin=https%3A%2F%2Fwww.fela.fr&widgetid=1,affaire/58/jean-claude-bonnal-le-chinois, 1998,Paris (75)," Athis-Mons (91)

",,,,,,,,,
"Michel Guibal, l'envoûtement",Pipe d'or - très bon épisode,saison 7 épisode 7,"Lieu : Perpignan (66)

Début de l'affaire : 1991",https://www.youtube.com/embed/oEsA_u-vIzU?enablejsapi=1&origin=https%3A%2F%2Fwww.fela.fr&widgetid=1,affaire/59/michel-guibal-lenvoutement, 1991,"Perpignan (66)

",,,,,,,,,,
"Dany Leprince, la feuille de boucher",Pipe d'or - très bon épisode,saison 7 épisode 8,"Lieu : Thorigné-sur-Dué (72)

Début de l'affaire : 1994",,affaire/60/dany-leprince-la-feuille-de-boucher, 1994,"Thorigné-sur-Dué (72)

",,,,,,,,,,
"André Kaas, la mauvaise réputation",Pipe d'argent - bon épisode,saison 7 épisode 9,"Lieu : Anneville-Ambourville (76)

Début de l'affaire : 1992",https://www.youtube.com/embed/WUBaBcgZjmA?enablejsapi=1&origin=https%3A%2F%2Fwww.fela.fr&widgetid=1,affaire/61/andre-kaas-la-mauvaise-reputation, 1992,"Anneville-Ambourville (76)

",,,,,,,,,,
"Michel Pinneteau, les corps sans tête de l'Estéron",Pipe d'argent - bon épisode,saison 7 épisode 10,"Lieu : Toudon (06)

Début de l'affaire : 1999",,affaire/62/michel-pinneteau-les-corps-sans-tete-de-lesteron, 1999,"Toudon (06)

",,,,,,,,,,
"Louis Poirson, le tailleur de pierres",Pipe de diamant - excellent épisode,saison 8 épisode 1,"Lieux : Douains (27), Strasbourg (67), Mantes-la-Jolie (78), La Villeneuve-en-Chevrie (78), Saint-Cyr-en-Arthies (95)

Début de l'affaire : 2000",https://www.youtube.com/embed/uxA7EGzs4N0?enablejsapi=1&origin=https%3A%2F%2Fwww.fela.fr&widgetid=1,affaire/63/louis-poirson-le-tailleur-de-pierres, 2000,Douains (27), Strasbourg (67), Mantes-la-Jolie (78), La Villeneuve-en-Chevrie (78)," Saint-Cyr-en-Arthies (95)

",,,,,,
"Nadine et Jérôme, meurtre en famille",Pipe de bronze - épisode moyen,saison 8 épisode 2,"Lieu : Iville (27)

Début de l'affaire : 2002",https://www.youtube.com/embed/WzhXnNpK720?enablejsapi=1&origin=https%3A%2F%2Fwww.fela.fr&widgetid=1,affaire/64/nadine-et-jerome-meurtre-en-famille, 2002,"Iville (27)

",,,,,,,,,,
L'énigme Alfred Petit,Pipe d'or - très bon épisode,saison 8 épisode 3,"Lieu : Saint-Jacques-sur-Darnétal (76)

Début de l'affaire : 2001",https://www.youtube.com/embed/9P15CIMgGdw?enablejsapi=1&origin=https%3A%2F%2Fwww.fela.fr&widgetid=1,affaire/65/lenigme-alfred-petit, 2001,"Saint-Jacques-sur-Darnétal (76)

",,,,,,,,,,
Les meurtres de la gare de Perpignan,Pipe d'or - très bon épisode,saison 8 épisode 4,"Lieu : Perpignan (66)

Début de l'affaire : 1995",,affaire/66/les-meurtres-de-la-gare-de-perpignan, 1995,"Perpignan (66)

",,,,,,,,,,
"Marie-Louise Polidori, l'huissier hors-la-loi",Pipe de bronze - épisode moyen,saison 8 épisode 5,"Lieu : Paris (75)

Début de l'affaire : 1999",,affaire/67/marie-louise-polidori-lhuissier-hors-la-loi, 1999,"Paris (75)

",,,,,,,,,,
"Jean-Pierre Deulin, pour quelques centimètres de plus",Pipe d'argent - bon épisode,saison 8 épisode 6,"Lieu : Maroilles (59)

Début de l'affaire : 1987",,affaire/68/jean-pierre-deulin-pour-quelques-centimetres-de-plus, 1987,"Maroilles (59)

",,,,,,,,,,
"Jocelyne Bourdin et Marc Fasquel, le couple pervers",Pipe de bronze - épisode moyen,saison 8 épisode 7,"Lieux : Barbezieux (16), Pruniers (36), Grand-Auverné (44), Vic-en-Bigorre (65), Courcelles-sous-Thoix (80), Castelsarrasin (82)

Début de l'affaire : 1986",,affaire/69/jocelyne-bourdin-et-marc-fasquel-le-couple-pervers, 1986,Barbezieux (16), Pruniers (36), Grand-Auverné (44), Vic-en-Bigorre (65), Courcelles-sous-Thoix (80)," Castelsarrasin (82)

",,,,,
"Jean Chouraqui, la guerre des cliniques",Pipe de bronze - épisode moyen,saison 8 épisode 8,"Lieu : Marseille (13)

Début de l'affaire : 1988",https://www.youtube.com/embed/RVKAleGyd5k?enablejsapi=1&origin=https%3A%2F%2Fwww.fela.fr&widgetid=1,affaire/70/jean-chouraqui-la-guerre-des-cliniques, 1988,"Marseille (13)

",,,,,,,,,,
"Jacques Maire, le caïd de Dombasle",Pipe de diamant - excellent épisode,saison 8 épisode 9,"Lieu : Dombasle (54)

Début de l'affaire : 1987",https://www.youtube.com/embed/SCqZ-RWVBdo?enablejsapi=1&origin=https%3A%2F%2Fwww.fela.fr&widgetid=1,affaire/71/jacques-maire-le-caid-de-dombasle, 1987,"Dombasle (54)

",,,,,,,,,,
"Sylvie Reviriego, meurtre sur ordonnance",Pipe d'argent - bon épisode,saison 8 épisode 10,"Lieu : Tours (37)

Début de l'affaire : 1988",https://www.youtube.com/embed/7m2b62qOHPA?enablejsapi=1&origin=https%3A%2F%2Fwww.fela.fr&widgetid=1,affaire/72/sylvie-reviriego-meurtre-sur-ordonnance, 1988,"Tours (37)

",,,,,,,,,,
"Christian Marletta, l'aveu",Pipe d'argent - bon épisode,saison 8 épisode 11,"Lieu : Marseille (13)

Début de l'affaire : 1982",,affaire/73/christian-marletta-laveu, 1982,"Marseille (13)

",,,,,,,,,,
"Myriam Badaoui, la menteuse et le juge",Pipe d'argent - bon épisode,saison 8 épisode 12,"Lieu : Outreau (62)

Début de l'affaire : 2000",https://www.youtube.com/embed/HrrSkgPogrA?enablejsapi=1&origin=https%3A%2F%2Fwww.fela.fr&widgetid=1,affaire/74/myriam-badaoui-la-menteuse-et-le-juge, 2000,"Outreau (62)

",,,,,,,,,,
"Charles et Christophe Cretello, double détente",Pipe de bronze - épisode moyen,saison 8 épisode 13,"Lieu : Rosenau (68)

Début de l'affaire : 1996",https://www.youtube.com/embed/VpS8pEunzPU?enablejsapi=1&origin=https%3A%2F%2Fwww.fela.fr&widgetid=1,affaire/75/charles-et-christophe-cretello-double-detente, 1996,"Rosenau (68)

",,,,,,,,,,
"Edgar Boulai, les disparus de Vaux-le-Pénil",Pipe d'argent - bon épisode,saison 8 épisode 14,"Lieu : Vaux-le-Pénil (77)

Début de l'affaire : 1995",https://www.youtube.com/embed/O-8J6_86wPU?enablejsapi=1&origin=https%3A%2F%2Fwww.fela.fr&widgetid=1,affaire/76/edgar-boulai-les-disparus-de-vaux-le-penil, 1995,"Vaux-le-Pénil (77)

",,,,,,,,,,
"Luc Tangore, innocent à tout prix",Pipe d'or - très bon épisode,saison 8 épisode 15,"Lieux : Marseille (13), Nîmes (30)

Début de l'affaire : 1979",https://www.youtube.com/embed/623qspTqaKc?enablejsapi=1&origin=https%3A%2F%2Fwww.fela.fr&widgetid=1,affaire/77/luc-tangore-innocent-a-tout-prix, 1979,Marseille (13)," Nîmes (30)

",,,,,,,,,
"Stéphane Krauth, le meurtre de Karine Schaaff",Pipe d'argent - bon épisode,saison 8 épisode 16,"Lieu : Bitche (57)

Début de l'affaire : 2001",https://www.youtube.com/embed/GEERBuRRR84?enablejsapi=1&origin=https%3A%2F%2Fwww.fela.fr&widgetid=1,affaire/78/stephane-krauth-le-meurtre-de-karine-schaaff, 2001,"Bitche (57)

",,,,,,,,,,
"Jean-Marc Petroff, la mort de Jean-Claude Poulet-Dachary",Pipe d'argent - bon épisode,saison 8 épisode 17,"Lieu : Toulon (83)

Début de l'affaire : 1995",https://www.youtube.com/embed/Y7-dAiQ_VLI?enablejsapi=1&origin=https%3A%2F%2Fwww.fela.fr&widgetid=1,affaire/79/jean-marc-petroff-la-mort-de-jean-claude-poulet-dachary, 1995,"Toulon (83)

",,,,,,,,,,
"Nathalie Le Scrill, l'étrangleuse",Pipe d'argent - bon épisode,saison 8 épisode 18,"Lieu : Lamorlaye (60)

Début de l'affaire : 1994",https://www.youtube.com/embed/7hT09L8HFz4?enablejsapi=1&origin=https%3A%2F%2Fwww.fela.fr&widgetid=1,affaire/80/nathalie-le-scrill-letrangleuse, 1994,"Lamorlaye (60)

",,,,,,,,,,
"Patrick Tissier, le récidiviste",Pipe d'or - très bon épisode,saison 8 épisode 19,"Lieux : Perpignan (66), Bourges (18)

Début de l'affaire : 1993",https://www.youtube.com/embed/lIdUK-w2Ug0?enablejsapi=1&origin=https%3A%2F%2Fwww.fela.fr&widgetid=1,affaire/81/patrick-tissier-le-recidiviste, 1993,Perpignan (66)," Bourges (18)

",,,,,,,,,
"Abderrezak Besseghir, le bagagiste de Roissy",Pipe d'or - très bon épisode,saison 8 épisode 20,"Lieux : Roissy (93), Bondy (93)

Début de l'affaire : 2002",,affaire/82/abderrezak-besseghir-le-bagagiste-de-roissy, 2002,Roissy (93)," Bondy (93)

",,,,,,,,,
"Jacques Plumain, le fantôme de Kehl",Pipe d'argent - bon épisode,saison 9 épisode 1,"Lieux : La Wantzenau (67), Allemagne

Début de l'affaire : 1999",https://www.youtube.com/embed/K7IBuQ8swsE?enablejsapi=1&origin=https%3A%2F%2Fwww.fela.fr&widgetid=1,affaire/83/jacques-plumain-le-fantome-de-kehl, 1999,La Wantzenau (67)," Allemagne

",,,,,,,,,
"L'abbé Pierre Dufour, le secret de la vallée",Pipe d'argent - bon épisode,saison 9 épisode 2,"Lieu : Saint-Jean-de-Maurienne (73)

Début de l'affaire : 1991",https://www.youtube.com/embed/5WEUQbI4m6c?enablejsapi=1&origin=https%3A%2F%2Fwww.fela.fr&widgetid=1,affaire/84/labbe-pierre-dufour-le-secret-de-la-vallee, 1991,"Saint-Jean-de-Maurienne (73)

",,,,,,,,,,
"David Hotyat, la tuerie du Grand-Bornand",Pipe de diamant - excellent épisode,saison 9 épisode 3,"Lieu : Le Grand-Bornand (74)

Début de l'affaire : 2003",https://www.youtube.com/embed/c_OT6OApEvA?enablejsapi=1&origin=https%3A%2F%2Fwww.fela.fr&widgetid=1,affaire/85/david-hotyat-la-tuerie-du-grand-bornand, 2003,"Le Grand-Bornand (74)

",,,,,,,,,,
"Jacques Mesrine, l'homme aux 1000 visages",Pipe d'or - très bon épisode,saison 9 épisode 4,"Lieux : Compiègne (60), Deauville (14), Forêt d'Halatte(60), Paris (75), Boulogne-Billancourt (92)

Début de l'affaire : 1973",https://www.youtube.com/embed/OEhNcNqJjsg?enablejsapi=1&origin=https%3A%2F%2Fwww.fela.fr&widgetid=1,affaire/86/jacques-mesrine-lhomme-aux-1000-visages, 1973,Compiègne (60), Deauville (14), Forêt d'Halatte(60), Paris (75)," Boulogne-Billancourt (92)

",,,,,,
"Didier Tallineau, l'homme aux deux visages",Pipe d'or - très bon épisode,saison 9 épisode 5,"Lieux : Châteaubriant (44), Oulmes (85)

Début de l'affaire : 1989",https://www.youtube.com/embed/cO84j2mgddk?enablejsapi=1&origin=https%3A%2F%2Fwww.fela.fr&widgetid=1,affaire/87/didier-tallineau-lhomme-aux-deux-visages, 1989,Châteaubriant (44)," Oulmes (85)

",,,,,,,,,
"Jacques Fruminet, tueur de femmes",Pipe d'or - très bon épisode,saison 9 épisode 6,"Lieux : Colmar (68), Évaux-et-Ménil (88), Mulhouse (68)

Début de l'affaire : 1998",https://www.youtube.com/embed/eZY3hj2yjC4?enablejsapi=1&origin=https%3A%2F%2Fwww.fela.fr&widgetid=1,affaire/88/jacques-fruminet-tueur-de-femmes, 1998,Colmar (68), Évaux-et-Ménil (88)," Mulhouse (68)

",,,,,,,,
"Henri-Jean Jacomet, massacre à huis-clos",Pipe d'or - très bon épisode,saison 9 épisode 7,"Lieu : Huos (31)

Début de l'affaire : 1988",,affaire/89/henri-jean-jacomet-massacre-a-huis-clos, 1988,"Huos (31)

",,,,,,,,,,
Le réseau pédophile d'Angers,Pipe d'argent - bon épisode,saison 9 épisode 8,"Lieu : Angers (49)

Début de l'affaire : 1999",https://www.youtube.com/embed/GjZp41g5Q0c?enablejsapi=1&origin=https%3A%2F%2Fwww.fela.fr&widgetid=1,affaire/90/le-reseau-pedophile-dangers, 1999,"Angers (49)

",,,,,,,,,,
"Romain Dupuy, les infirmières de Pau",Pipe d'or - très bon épisode,saison 9 épisode 9,"Lieu : Pau (64)

Début de l'affaire : 2004",https://www.youtube.com/embed/wpru7ql5ZFQ?enablejsapi=1&origin=https%3A%2F%2Fwww.fela.fr&widgetid=1,affaire/91/romain-dupuy-les-infirmieres-de-pau, 2004,"Pau (64)

",,,,,,,,,,
Roland Bondonny et le mystère des boulettes bleues,Pipe d'or - très bon épisode,saison 9 épisode 10,"Lieu : Égletons (19)

Début de l'affaire : 2004",,affaire/92/roland-bondonny-et-le-mystere-des-boulettes-bleues, 2004,"Égletons (19)

",,,,,,,,,,
"Michel Fourniret et Monique Olivier, l'alliance diabolique",Pipe de diamant - excellent épisode,saison 9 épisode 11,"Lieux : Charleville-Mézières (08), Donchery (08), Sedan (08), Auxerre (89), Belgique

Début de l'affaire : 2001",https://www.youtube.com/embed/5W6d89hl_2w?enablejsapi=1&origin=https%3A%2F%2Fwww.fela.fr&widgetid=1,affaire/93/michel-fourniret-et-monique-olivier-lalliance-diabolique, 2001,Charleville-Mézières (08), Donchery (08), Sedan (08), Auxerre (89)," Belgique

",,,,,,
"Les paras de Francazal, virée sanglante",Pipe d'or - très bon épisode,saison 9 épisode 12,"Lieux : Toulouse (31), Saint-Romain-de-Jalionas (38)

Début de l'affaire : 1989",,affaire/94/les-paras-de-francazal-viree-sanglante, 1989,Toulouse (31)," Saint-Romain-de-Jalionas (38)

",,,,,,,,,
"Denis Waxin, le prédateur",Pipe d'or - très bon épisode,saison 9 épisode 13,"Lieu : Lille (59)

Début de l'affaire : 1992",https://www.youtube.com/embed/0RNEAsE3moY?enablejsapi=1&origin=https%3A%2F%2Fwww.fela.fr&widgetid=1,affaire/95/denis-waxin-le-predateur, 1992,"Lille (59)

",,,,,,,,,,
"Jean-Luc Blanche, le routard du viol",Pipe d'or - très bon épisode,saison 9 épisode 14,"Lieux : Vouziers (08), Caen (14), Fontaine-la-Soret (27), Reims (51), Saint-Loup-Géanges (71), Orsay (91)

Début de l'affaire : 2003",https://www.youtube.com/embed/wwCC8gNT-mM?enablejsapi=1&origin=https%3A%2F%2Fwww.fela.fr&widgetid=1,affaire/96/jean-luc-blanche-le-routard-du-viol, 2003,Vouziers (08), Caen (14), Fontaine-la-Soret (27), Reims (51), Saint-Loup-Géanges (71)," Orsay (91)

",,,,,
"Florence Féderlé, le mystère du tronc brûlé",Pipe d'argent - bon épisode,saison 9 épisode 15,"Lieu : Moigny-sur-École (91)

Début de l'affaire : 2004",https://www.youtube.com/embed/HdTw8SyXAmk?enablejsapi=1&origin=https%3A%2F%2Fwww.fela.fr&widgetid=1,affaire/97/florence-federle-le-mystere-du-tronc-brule, 2004,"Moigny-sur-École (91)

",,,,,,,,,,
"Jean-Luc Cayez, la machination du concierge",Pipe d'or - très bon épisode,saison 9 épisode 16,"Lieu : Soisy-sur-Seine (91)

Début de l'affaire : 2005",https://www.youtube.com/embed/uGMPveq8tO8?enablejsapi=1&origin=https%3A%2F%2Fwww.fela.fr&widgetid=1,affaire/98/jean-luc-cayez-la-machination-du-concierge, 2005,"Soisy-sur-Seine (91)

",,,,,,,,,,
"Tommy Recco, la malédiction des Recco",Pipe d'argent - bon épisode,saison 9 épisode 17,"Lieux : Propriano (2A), Béziers (34), Carqueiranne (83)

Début de l'affaire : 1960",,affaire/99/tommy-recco-la-malediction-des-recco, 1960,Propriano (2A), Béziers (34)," Carqueiranne (83)

",,,,,,,,
"Mamadou Traoré, le tueur aux mains nues",Pipe d'or - très bon épisode,saison 10 épisode 1,"Lieux : Paris (75), Neuilly-sur-Seine (92)

Début de l'affaire : 1996",https://www.youtube.com/embed/bNP9fT6y1h0?enablejsapi=1&origin=https%3A%2F%2Fwww.fela.fr&widgetid=1,affaire/100/mamadou-traore-le-tueur-aux-mains-nues, 1996,Paris (75)," Neuilly-sur-Seine (92)

",,,,,,,,,
