nom,pipe,saisonepisode,lieu_date,video,url,date,lieu_1,lieu_2,lieu_3,lieu_4,lieu_5,lieu_6,lieu_7,lieu_8,lieu_9,lieu_10,lieu_11
"Rémy Chesne et Audrey Louvet, la grotte sanglante de Sète",Pipe d'argent - bon épisode,saison 23 épisode 8,"Lieu : Sète (34)

Début de l'affaire : 2014",,affaire/265/remy-chesne-et-audrey-louvet-la-grotte-sanglante-de-sete, 2014,"Sète (34)

",,,,,,,,,,
La loi de Denis Mannechez,Pipe d'argent - bon épisode,saison 23 épisode 9,"Lieu : Gisors (27)

Début de l'affaire : 2014",,affaire/266/la-loi-de-denis-mannechez, 2014,"Gisors (27)

",,,,,,,,,,
"Pascal Payet, le roi de l’évasion",Pipe d'argent - bon épisode,saison 23 épisode 10,"Lieux : Grasse (06), Aix-en-Provence (13), Marseille (13), Salon-de-Provence (13), Roissy (95), Espagne

Début de l'affaire : 1999",,affaire/267/pascal-payet-le-roi-de-levasion, 1999,Grasse (06), Aix-en-Provence (13), Marseille (13), Salon-de-Provence (13), Roissy (95)," Espagne

",,,,,
Les secrets de Nordahl Lelandais,Pipe d'or - très bon épisode,saison 24 épisode 1,"Lieux : Le Pont-de-Beauvoisin (38), Chambéry (73), Montmélian (73)

Début de l'affaire : 2017",,affaire/268/les-secrets-de-nordahl-lelandais, 2017,Le Pont-de-Beauvoisin (38), Chambéry (73)," Montmélian (73)

",,,,,,,,
Le mort de la valise,Pipe d'or - très bon épisode,saison 24 épisode 2,"Lieux : Lorient (56), Paris (75)

Début de l'affaire : 2011",,affaire/269/le-mort-de-la-valise, 2011,Lorient (56)," Paris (75)

",,,,,,,,,
Alexandre Verdure et l'inconnue du Frasnois,Pipe d'argent - bon épisode,saison 24 épisode 3,"Lieux : Le Frasnois (39), Suisse

Début de l'affaire : 2016",,affaire/270/alexandre-verdure-et-linconnue-du-frasnois, 2016,Le Frasnois (39)," Suisse

",,,,,,,,,
"Florian Varin, le violeur à la gueule d’ange",Pipe de bronze - épisode moyen,saison 24 épisode 4,"Lieux : La Rochelle (17), Toulouse (31), Rennes (35), Locminé (56), Niort (79)

Début de l'affaire : 2012",,affaire/271/florian-varin-le-violeur-a-la-gueule-dange, 2012,La Rochelle (17), Toulouse (31), Rennes (35), Locminé (56)," Niort (79)

",,,,,,
Edith Scaravetti et le mort du mur,Pipe d'argent - bon épisode,saison 24 épisode 5,"Lieu : Toulouse (31)

Début de l'affaire : 2014",,affaire/272/edith-scaravetti-et-le-mort-du-mur, 2014,"Toulouse (31)

",,,,,,,,,,
"Patrice Uzan, l'arme fatale",Pipe d'argent - bon épisode,saison 24 épisode 6,"Lieux : Paris (75), Saint-Witz (95)

Début de l'affaire : 2011",,affaire/273/patrice-uzan-larme-fatale, 2011,Paris (75)," Saint-Witz (95)

",,,,,,,,,
Le crime presque parfait de Georges Pierru et Grit Bergmann,Pipe d'argent - bon épisode,saison 24 épisode 7,"Lieu : Èze (06)

Début de l'affaire : 2011",,affaire/274/le-crime-presque-parfait-de-georges-pierru-et-grit-bergmann, 2011,"Èze (06)

",,,,,,,,,,
"Jean-Baptiste Rambla, un crime pour héritage",Pipe d'or - très bon épisode,saison 24 épisode 8,"Lieux : Marseille (13), Toulouse (31)

Début de l'affaire : 2017",,affaire/275/jean-baptiste-rambla-un-crime-pour-heritage, 2017,Marseille (13)," Toulouse (31)

",,,,,,,,,
"Willy Bardon, la voix du sang",Pipe de diamant - excellent épisode,saison 24 épisode 9,"Lieux : Cartigny (80), Tertry (80)

Début de l'affaire : 2002",,affaire/276/willy-bardon-la-voix-du-sang, 2002,Cartigny (80)," Tertry (80)

",,,,,,,,,
"Cyril Koskinas, sexe, mensonges et vidéo",Pipe d'or - très bon épisode,saison 24 épisode 10,"Lieu : Fresnes-sur-Marne (77)

Début de l'affaire : 2004",,affaire/277/cyril-koskinas-sexe-mensonges-et-video, 2004,"Fresnes-sur-Marne (77)

",,,,,,,,,,
"Gomis, deux frères jumeaux, un coupable",Pipe d'argent - bon épisode,saison 24 épisode 11,"Lieu : Marseille (13)

Début de l'affaire : 2012",,affaire/278/gomis-deux-freres-jumeaux-un-coupable, 2012,"Marseille (13)

",,,,,,,,,,
Laurent Dejean et la joggeuse de Bouloc,Pipe d'argent - bon épisode,saison 24 épisode 12,"Lieu : Bouloc (31)

Début de l'affaire : 2011",,affaire/279/laurent-dejean-et-la-joggeuse-de-bouloc, 2011,"Bouloc (31)

",,,,,,,,,,
"Jacqueline Sauvage, du crime à la grâce",Pipe d'argent - bon épisode,saison 24 épisode 13,"Lieu : La Selle-sur-le-Bied (45)

Début de l'affaire : 2012",,affaire/280/jacqueline-sauvage-du-crime-a-la-grace, 2012,"La Selle-sur-le-Bied (45)

",,,,,,,,,,
