"";"CANTVILLE";"LPRM_1";"LPRM_2";"LPRM_3";"LPRM_4";"LPRM_5";"LPRM_6";"LPRM_7";"LPRM_8";"LPRM_9";"LPRM_Z";"P13_POP_sup20";"LPRM_1_pct_POP_sup20";"LPRM_2_pct_POP_sup20";"LPRM_3_pct_POP_sup20";"LPRM_4_pct_POP_sup20";"LPRM_5_pct_POP_sup20";"LPRM_6_pct_POP_sup20";"LPRM_7_pct_POP_sup20";"LPRM_8_pct_POP_sup20";"LPRM_9_pct_POP_sup20";"LPRM_Z_pct_POP_sup20"
"17";"0117";12476,0270328711;8046,50015573811;1146,70275436152;0;64,7500743255051;145,539178132337;72,751553692402;8,82847393729385;0;595,259302295421;22556,3585253536;55,3104660880782;35,6728686799943;5,08372285833552;0;0,287059075837641;0,6452246180107;0,322532352066617;0,0391396240992115;0;2,6389867035778
"18";"0118";9040,05434528979;5833,73398327442;755,320927865021;0;56,74176686738;137,702435791756;70,1961847493927;0;0;513,322861037416;16407,0725048752;55,0985213395238;35,5562150501925;4,60363009696328;0;0,345837240924728;0,839287055937852;0,427841010201757;0;0;3,1286682062561
"19";"0119";13312,6828504557;6827,51879562171;1148,08933799714;4,80916030534351;129,754310430264;289,485012716882;230,286895464558;42,0607173521216;23,3981903303276;261,130989655413;22269,2162603295;59,780652784674;30,6589990227195;5,15549952264084;0,0215955525741181;0,582662222654908;1,29993354652796;1,03410417669163;0,188873810647072;0,105069662339259;1,17260969853076
"20";"0120";10428,131203591;6659,70582050424;1029,38647574266;0;103,592643664391;231,952819543616;131,090450100067;33,8953713754217;16;88,0245118090151;18721,7792963304;55,7005348612082;35,5719705648362;5,4983367737084;0;0,55332691420359;1,23894644772936;0,700202945591618;0,181047809820434;0,0854619624916534;0,470171720410509
"21";"0121";12010,7886231394;8033,01635806789;1858,06255384266;0;112,322026343964;199,44987409311;60,930501977108;9,78205575394868;0;552,385684930685;22836,7376781487;52,5941524241085;35,1758489819422;8,1362871528736;0;0,491847950994502;0,873372882344542;0,266809133755603;0,0428347336288257;0;2,41884674035221
"22";"0122";11876,1319632067;8304,03536537169;1688,59292175923;0;126,11959980324;227,464471711998;87,7474116367901;4,07584501236603;0;501,007299342419;22815,1748778445;52,0536530041656;36,3969831913743;7,40118333872163;0;0,552788223094941;0,996987631827822;0,384601091626962;0,0178646231474826;0;2,19593889604125
"23";"0123";9623,54334707159;6044,53352712543;1032,48404227382;9,10191507482762;46,6658744691086;155,842359262684;28,2556965132718;8,15527467989357;0;324,000314360378;17272,582350831;55,7157184235893;34,9949614038726;5,97758934537168;0,0526957399302237;0,270173119000145;0,902252807931676;0,1635869839226;0,0472151442919664;0;1,87580703208973
"24";"0199";19393,3507567865;7701,33849626959;1548,8461668407;0;102,521332918416;274,345184428858;186,480348022399;9,23930929473725;0;1975,00767369017;31191,1292682514;62,1758532369858;24,6907972777651;4,96566236355293;0;0,328687467634493;0,879561564024893;0,597863406671243;0,0296215927781162;0;6,33195309058744
"25";"0201";9087,94550805551;5543,3114930024;1116,89999167139;12,079438724103;95,2874397224826;182,702599423406;67,0100296379562;5,06390850992264;0;274,991871392014;16385,2922801392;55,4640427078077;33,8310199063187;6,81647890422559;0,0737212282672837;0,58154250832609;1,11504022204634;0,40896450604778;0,0309052070805027;0;1,67828480987999
"26";"0202";11530,3327297233;6205,00443356122;1217,29309988426;8,00763358778626;99,3212687681249;203,161969120802;63,9734408517991;1,0256852567953;2,97737280425239;511,006384186715;19842,1040177451;58,1104338502186;31,2719075961501;6,13489929694764;0,0403567765828913;0,500558149878161;1,02389327734151;0,322412586863706;0,00516923636665757;0,0150053280720113;2,57536390157876
